,D00040,D00066,D00067,D00075,D00088,D00094,D00105,D00129,D00143,D00163,D00182,D00187,D00188,D00211,D00246,D00279,D00299,D00312,D00316,D00327,D00348,D00443,D00462,D00506,D00554,D00565,D00577,D00585,D00586,D00596,D00627,D00690,D00730,D00898,D00930,D00950,D00951,D00954,D00956,D00961,D00962,D00965,D01115,D01132,D01161,D01217,D01294,D01387,D01441,D01689,D02217,D02367,D04066,D05341
D00040,1.0,0.5,0.25925925925925924,0.4857142857142857,0.46153846153846156,0.15730337078651685,0.25925925925925924,0.44047619047619047,0.7704918032786885,0.3563218390804598,0.5142857142857142,0.29347826086956524,0.4625,0.016853932584269662,0.25,0.08333333333333333,0.29347826086956524,0.23333333333333334,0.04716981132075472,0.4864864864864865,0.15730337078651685,0.39080459770114945,0.27710843373493976,0.056179775280898875,0.27710843373493976,0.06796116504854369,0.07526881720430108,0.27,0.07777777777777778,0.024390243902439025,0.05185185185185185,0.23148148148148148,0.0875,0.05263157894736842,0.2872340425531915,0.5,0.43902439024390244,0.5,0.38202247191011235,0.06306306306306306,0.06666666666666667,0.0297029702970297,0.37777777777777777,0.027777777777777776,0.17073170731707318,0.38461538461538464,0.43902439024390244,0.22522522522522523,0.02097902097902098,0.22330097087378642,0.023255813953488372,0.5,0.21212121212121213,0.16049382716049382
D00066,0.5,1.0,0.29577464788732394,0.8431372549019608,0.8909090909090909,0.17721518987341772,0.29577464788732394,0.29069767441860467,0.5806451612903226,0.5,0.8113207547169812,0.2976190476190476,0.3048780487804878,0.030120481927710843,0.4935064935064935,0.06578947368421052,0.2976190476190476,0.2625,0.052083333333333336,0.8181818181818182,0.17721518987341772,0.6323529411764706,0.5483870967741935,0.06329113924050633,0.3150684931506849,0.05263157894736842,0.058823529411764705,0.24468085106382978,0.06097560975609756,0.04504504504504504,0.03937007874015748,0.4470588235294118,0.06944444444444445,0.058823529411764705,0.29069767441860467,0.7818181818181819,0.8305084745762712,0.7818181818181819,0.5694444444444444,0.04854368932038835,0.03875968992248062,0.03296703296703297,0.6056338028169014,0.052083333333333336,0.18584070796460178,0.38028169014084506,0.6119402985074627,0.4318181818181818,0.03816793893129771,0.45,0.042735042735042736,0.7192982456140351,0.23595505617977527,0.06329113924050633
D00067,0.25925925925925924,0.29577464788732394,1.0,0.31343283582089554,0.2727272727272727,0.03571428571428571,0.9111111111111111,0.25,0.29577464788732394,0.25925925925925924,0.30434782608695654,0.25609756097560976,0.2625,0.09271523178807947,0.23863636363636365,0.22950819672131148,0.25609756097560976,0.8269230769230769,0.1728395061728395,0.2876712328767123,0.03571428571428571,0.25,0.30434782608695654,0.18181818181818182,0.8367346938775511,0.175,0.2,0.23333333333333334,0.17391304347826086,0.14583333333333334,0.10526315789473684,0.21875,0.2033898305084746,0.2,0.25,0.29577464788732394,0.25925925925925924,0.29577464788732394,0.2441860465116279,0.13333333333333333,0.12280701754385964,0.15789473684210525,0.2413793103448276,0.14457831325301204,0.47126436781609193,0.29577464788732394,0.25925925925925924,0.21212121212121213,0.1016949152542373,0.23595505617977527,0.13725490196078433,0.29577464788732394,0.6507936507936508,0.0
D00075,0.4857142857142857,0.8431372549019608,0.31343283582089554,1.0,0.8181818181818182,0.18666666666666668,0.35384615384615387,0.2441860465116279,0.5666666666666667,0.4444444444444444,0.8775510204081632,0.25,0.25609756097560976,0.018292682926829267,0.4050632911392405,0.04054054054054054,0.25,0.27631578947368424,0.031914893617021274,0.8823529411764706,0.18666666666666668,0.671875,0.5862068965517241,0.03896103896103896,0.3333333333333333,0.03225806451612903,0.03614457831325301,0.25555555555555554,0.0375,0.027522935779816515,0.024,0.4,0.04285714285714286,0.03614457831325301,0.2441860465116279,0.8431372549019608,0.7627118644067796,0.8431372549019608,0.6515151515151515,0.0297029702970297,0.023622047244094488,0.034482758620689655,0.6417910447761194,0.031914893617021274,0.21495327102803738,0.2876712328767123,0.6507936507936508,0.35555555555555557,0.023255813953488372,0.4358974358974359,0.02608695652173913,0.7735849056603774,0.27710843373493976,0.0
D00088,0.46153846153846156,0.8909090909090909,0.2727272727272727,0.8181818181818182,1.0,0.16470588235294117,0.30666666666666664,0.2717391304347826,0.5294117647058824,0.46153846153846156,0.7894736842105263,0.2777777777777778,0.2840909090909091,0.029069767441860465,0.5316455696202531,0.0875,0.2777777777777778,0.2441860465116279,0.049019607843137254,0.8596491228070176,0.16470588235294117,0.581081081081081,0.5454545454545454,0.058823529411764705,0.3246753246753247,0.0707070707070707,0.054945054945054944,0.25510204081632654,0.056818181818181816,0.042735042735042736,0.03759398496240601,0.4827586206896552,0.0641025641025641,0.054945054945054944,0.2717391304347826,0.7627118644067796,0.8095238095238095,0.7627118644067796,0.5657894736842105,0.06542056074766354,0.05263157894736842,0.030927835051546393,0.5584415584415584,0.049019607843137254,0.19658119658119658,0.35064935064935066,0.6056338028169014,0.4666666666666667,0.0364963503649635,0.4878048780487805,0.04065040650406504,0.7049180327868853,0.24731182795698925,0.058823529411764705
D00094,0.15730337078651685,0.17721518987341772,0.03571428571428571,0.18666666666666668,0.16470588235294117,1.0,0.03571428571428571,0.04950495049504951,0.17721518987341772,0.07291666666666667,0.1518987341772152,0.09473684210526316,0.05154639175257732,0.0440251572327044,0.047619047619047616,0.10144927536231885,0.09473684210526316,0.03225806451612903,0.391304347826087,0.1728395061728395,1.0,0.15217391304347827,0.03409090909090909,0.039473684210526314,0.03409090909090909,0.07954545454545454,0.11842105263157894,0.12,0.06493506493506493,0.11,0.040983606557377046,0.04424778761061947,0.07462686567164178,0.14864864864864866,0.09278350515463918,0.14814814814814814,0.15730337078651685,0.14814814814814814,0.125,0.05102040816326531,0.05737704918032787,0.05952380952380952,0.14736842105263157,0.054945054945054944,0.04032258064516129,0.17721518987341772,0.13186813186813187,0.06140350877192982,0.0234375,0.04716981132075472,0.044642857142857144,0.14814814814814814,0.05,0.09722222222222222
D00105,0.25925925925925924,0.29577464788732394,0.9111111111111111,0.35384615384615387,0.30666666666666664,0.03571428571428571,1.0,0.25,0.29577464788732394,0.25925925925925924,0.34328358208955223,0.25609756097560976,0.2625,0.09271523178807947,0.23863636363636365,0.22950819672131148,0.25609756097560976,0.7592592592592593,0.1728395061728395,0.323943661971831,0.03571428571428571,0.25,0.34328358208955223,0.18181818181818182,0.9148936170212766,0.175,0.2,0.26136363636363635,0.17391304347826086,0.14583333333333334,0.10526315789473684,0.24468085106382978,0.2033898305084746,0.2,0.25,0.3333333333333333,0.2911392405063291,0.3333333333333333,0.27380952380952384,0.13333333333333333,0.12280701754385964,0.15789473684210525,0.2413793103448276,0.14457831325301204,0.5058823529411764,0.29577464788732394,0.2911392405063291,0.21212121212121213,0.1016949152542373,0.26436781609195403,0.13725490196078433,0.3333333333333333,0.7049180327868853,0.0
D00129,0.44047619047619047,0.29069767441860467,0.25,0.2441860465116279,0.2717391304347826,0.04950495049504951,0.25,1.0,0.29069767441860467,0.34444444444444444,0.26744186046511625,0.6486486486486487,0.9354838709677419,0.027932960893854747,0.24271844660194175,0.10588235294117647,0.6052631578947368,0.22580645161290322,0.045871559633027525,0.25555555555555554,0.04950495049504951,0.20388349514563106,0.26744186046511625,0.05434782608695652,0.26744186046511625,0.08653846153846154,0.07291666666666667,0.21495327102803738,0.07526881720430108,0.04032258064516129,0.050724637681159424,0.22522522522522523,0.1111111111111111,0.05102040816326531,0.631578947368421,0.27586206896551724,0.2604166666666667,0.27586206896551724,0.2,0.08035714285714286,0.08088235294117647,0.028846153846153848,0.19811320754716982,0.045871559633027525,0.16666666666666666,0.29069767441860467,0.23469387755102042,0.21929824561403508,0.02054794520547945,0.2169811320754717,0.038461538461538464,0.27586206896551724,0.20588235294117646,0.15476190476190477
D00143,0.7704918032786885,0.5806451612903226,0.29577464788732394,0.5666666666666667,0.5294117647058824,0.17721518987341772,0.29577464788732394,0.29069767441860467,1.0,0.30120481927710846,0.6,0.2976190476190476,0.3048780487804878,0.030120481927710843,0.3068181818181818,0.06578947368421052,0.2976190476190476,0.2625,0.052083333333333336,0.5625,0.17721518987341772,0.44155844155844154,0.3150684931506849,0.06329113924050633,0.3150684931506849,0.05263157894736842,0.058823529411764705,0.3,0.06097560975609756,0.04504504504504504,0.03937007874015748,0.28125,0.06944444444444445,0.058823529411764705,0.29069767441860467,0.5806451612903226,0.5,0.5806451612903226,0.43037974683544306,0.04854368932038835,0.03875968992248062,0.03296703296703297,0.425,0.052083333333333336,0.18584070796460178,0.4411764705882353,0.5,0.2727272727272727,0.03816793893129771,0.27472527472527475,0.042735042735042736,0.5806451612903226,0.23595505617977527,0.06329113924050633
D00163,0.3563218390804598,0.5,0.25925925925925924,0.4444444444444444,0.46153846153846156,0.07291666666666667,0.25925925925925924,0.34444444444444444,0.30120481927710846,1.0,0.43243243243243246,0.29347826086956524,0.36046511627906974,0.040229885057471264,0.4044943820224719,0.10975609756097561,0.29347826086956524,0.23333333333333334,0.0673076923076923,0.4473684210526316,0.07291666666666667,0.3595505617977528,0.4722222222222222,0.056179775280898875,0.27710843373493976,0.0891089108910891,0.07526881720430108,0.22115384615384615,0.07777777777777778,0.058823529411764705,0.05185185185185185,0.3711340206185567,0.11538461538461539,0.05263157894736842,0.2872340425531915,0.42105263157894735,0.43902439024390244,0.42105263157894735,0.3225806451612903,0.06306306306306306,0.09923664122137404,0.0297029702970297,0.34782608695652173,0.04716981132075472,0.17073170731707318,0.30120481927710846,0.37209302325581395,0.36,0.02097902097902098,0.3695652173913043,0.03937007874015748,0.42105263157894735,0.21212121212121213,0.16049382716049382
