,D00040,D00066,D00067,D00075,D00088,D00094,D00105,D00129,D00143,D00163,D00182,D00187,D00188,D00211,D00246,D00279,D00299,D00312,D00316,D00327,D00348,D00443,D00462,D00506,D00554,D00565,D00577,D00585,D00586,D00596,D00627,D00690,D00730,D00898,D00930,D00950,D00951,D00954,D00956,D00961,D00962,D00965,D01115,D01132,D01161,D01217,D01294,D01387,D01441,D01689,D02217,D02367,D04066,D05341
D00040,1.0,0.4629100498862757,0.3431317581537581,0.5261353625024291,0.3673469387755102,0.183003604348671,0.43463356032809364,0.4963423064087881,0.7274300783927189,0.5687046880260318,0.2799748199650662,0.38007602280760266,0.5943216388127455,0.19685674914403828,0.25607375986579195,0.13041013273932528,0.3917733969501032,0.29488391230979427,0.12777531299998798,0.30151134457776363,0.183003604348671,0.3367822619938891,0.3431317581537581,0.17142857142857143,0.30499714066520933,0.16903085094570333,0.16835875742536846,0.24177940610724433,0.18788455692040834,0.1733656789191194,0.12803687993289598,0.22521165181945205,0.1649572197684645,0.17323973216880928,0.40816326530612246,0.2708921270675185,0.30612244897959184,0.2708921270675185,0.3245315080365153,0.16326530612244897,0.14433756729740643,0.18070158058105024,0.30012898939365157,0.18003601080360127,0.32923769125601826,0.3445843938031584,0.28005601680560194,0.24618298195866545,0.13758383209802194,0.31617306952485796,0.1188643277625491,0.28005601680560194,0.38525706426470974,0.17323973216880928
D00066,0.4629100498862757,1.0,0.44474958999666064,0.8400825588825812,0.6172133998483675,0.2717914161090704,0.44474958999666064,0.26805548212375485,0.7142857142857143,0.36401260415463205,0.4885042104591972,0.2592814894208657,0.2567762955065478,0.22898571337277562,0.3753738703544598,0.1690308509457033,0.2672612419124244,0.38676339191429654,0.18401748249129443,0.511766315719159,0.2717914161090704,0.5777466648897325,0.4200412794412906,0.18516401995451032,0.35296560400125876,0.18257418583505539,0.1454785934906616,0.3615945316606385,0.20293851577273644,0.20806259464411975,0.13829563644637993,0.3368165348543039,0.1781741612749496,0.14969623771302396,0.28656336421531353,0.4501491366063437,0.5510833927217568,0.4501491366063437,0.5154913117764516,0.19839002137983244,0.2004459314343183,0.1951800145897066,0.4457424941602093,0.23767469863579357,0.3161043118774398,0.7443873683187767,0.4105290249163707,0.36087515878885346,0.14860752335342742,0.462037457121927,0.1283881477532739,0.30249507099101003,0.4161251892882395,0.14969623771302396
D00067,0.3431317581537581,0.44474958999666064,1.0,0.46153846153846156,0.38888265924092585,0.23076923076923078,0.7692307692307693,0.27817432013209337,0.3706246583305505,0.2833152987899314,0.4345240946267408,0.22422426466543746,0.24426357542638016,0.22065615463154212,0.3075346380392736,0.20464687117164013,0.23112508176051216,0.8027266799048056,0.16709347060920102,0.38624363966821407,0.23076923076923078,0.3330866937632457,0.3333333333333333,0.25620504608813943,0.7325794357582566,0.18946618668626836,0.3019405424385589,0.33355055938006656,0.21059925059706255,0.19432508268938872,0.22552540122880063,0.2912758640177315,0.1849000654084097,0.31069425495224695,0.2516299559794226,0.37371346869364136,0.38888265924092585,0.37371346869364136,0.3851644432598216,0.183003604348671,0.18490006540840973,0.22786635759382495,0.29436199347182596,0.2466466911319812,0.49205542086283777,0.36210341218895065,0.35875882346469995,0.2956561979945413,0.23132597278649608,0.3543974693413207,0.26646935501059654,0.31391397053161246,0.6045669239225426,0.15534712747612348
D00075,0.5261353625024291,0.8400825588825812,0.46153846153846156,1.0,0.6405126152203485,0.23076923076923078,0.5897435897435898,0.299572344757639,0.5682911427735109,0.3777537317199085,0.5069447770645309,0.2690691175985249,0.2886751345948129,0.22065615463154212,0.38954387484974656,0.14617633655117152,0.3004626062886658,0.4013633399524028,0.14322297480788657,0.5793654595023211,0.23076923076923078,0.5773502691896258,0.4358974358974359,0.19215378456610457,0.3662897178791283,0.16239958858823003,0.15097027121927944,0.3752443793025749,0.18427434427242975,0.19432508268938872,0.12301385521570944,0.3495310368212778,0.1849000654084097,0.15534712747612348,0.2973808570665904,0.4671418358670517,0.5261353625024291,0.4671418358670517,0.5135525910130955,0.183003604348671,0.16178755723235852,0.22786635759382495,0.46256884688429795,0.20180183819889372,0.43054849325498307,0.5793654595023211,0.3811812499312437,0.3744978507930857,0.1349401507921227,0.45863201914759155,0.11102889792108189,0.31391397053161246,0.5182002205050366,0.15534712747612348
D00088,0.3673469387755102,0.6172133998483675,0.38888265924092585,0.6405126152203485,1.0,0.22875450543583875,0.3431317581537581,0.2672612419124244,0.3967800427596649,0.3370101854969077,0.5168765907047376,0.24004801440480167,0.25753937681885636,0.211999576001272,0.5853114511218102,0.18257418583505539,0.24743582965269675,0.3370101854969077,0.170367083999984,0.5599496399301324,0.22875450543583875,0.49526803234395456,0.38888265924092585,0.2,0.39213918085526916,0.16903085094570333,0.16835875742536846,0.409165148796875,0.2348556961505104,0.19262853213235487,0.16461884562800913,0.3811274107713804,0.19245008972987526,0.20788767860257112,0.2857142857142857,0.4584328304219544,0.5102040816326531,0.4584328304219544,0.4199819515766669,0.22448979591836735,0.1649572197684645,0.2032892781536815,0.46895154592758054,0.22004401320440153,0.27436474271334854,0.4738035414793428,0.4000800240080028,0.4044434703606647,0.13758383209802194,0.5765508914865057,0.1386750490563073,0.3400680204068024,0.3467313578382388,0.17323973216880928
D00094,0.183003604348671,0.2717914161090704,0.23076923076923078,0.23076923076923078,0.22875450543583875,1.0,0.20512820512820512,0.23537827088100208,0.2717914161090704,0.2360960823249428,0.2172620473133704,0.2466466911319812,0.24426357542638016,0.22065615463154212,0.18452078282356416,0.20464687117164013,0.25423758993656337,0.21248647409244853,0.47740991602628857,0.2414022747926338,1.0,0.26646935501059654,0.2564102564102564,0.19215378456610457,0.19535451620220176,0.16239958858823003,0.11322770341445958,0.18762218965128746,0.15794943794779692,0.2591001102525183,0.16401847362094593,0.1747655184106389,0.1849000654084097,0.15534712747612348,0.2516299559794226,0.18685673434682068,0.2973808570665904,0.18685673434682068,0.23537827088100208,0.11437725271791938,0.23112508176051216,0.15191090506254998,0.21025856676559,0.2466466911319812,0.16401847362094593,0.26554250227189713,0.2466466911319812,0.25623537159526916,0.1542173151909974,0.25016291953504993,0.15544045708951465,0.17937941173234997,0.2806917861068948,0.19418390934515434
D00105,0.43463356032809364,0.44474958999666064,0.7692307692307693,0.5897435897435898,0.3431317581537581,0.20512820512820512,1.0,0.3209703693831847,0.4200412794412906,0.3541441234874142,0.38624363966821407,0.2690691175985249,0.3108809141790293,0.18670905391899717,0.28703232883665536,0.17541160386140583,0.3004626062886658,0.590240205812357,0.14322297480788657,0.36210341218895065,0.20512820512820512,0.3108809141790293,0.3333333333333333,0.19215378456610457,0.7325794357582566,0.18946618668626836,0.3019405424385589,0.29185673945755825,0.18427434427242975,0.17273340683501218,0.16401847362094593,0.27185747308321606,0.1849000654084097,0.31069425495224695,0.2973808570665904,0.3269992851069362,0.2973808570665904,0.3269992851069362,0.4279604925109129,0.16012815380508713,0.18490006540840973,0.2025478734167333,0.27333613679526697,0.22422426466543746,0.6355715852811654,0.36210341218895065,0.3363363969981562,0.2759457847949052,0.17349447958987207,0.3127036494188124,0.22205779584216379,0.31391397053161246,0.7557086549031783,0.15534712747612348
D00129,0.4963423064087881,0.26805548212375485,0.27817432013209337,0.299572344757639,0.2672612419124244,0.23537827088100208,0.3209703693831847,1.0,0.329914439536929,0.41375796327552783,0.20145574100634506,0.6549210399944798,0.7783117824941563,0.18414262739277393,0.20531577324874647,0.14638501094227999,0.5786375623578447,0.23643312187173018,0.09960238411119945,0.24174688920761409,0.23537827088100208,0.22237479499833038,0.23537827088100208,0.16035674514745463,0.2445417437817667,0.15811388300841897,0.12598815766974242,0.1913694751757858,0.17574991006549875,0.12613124477737825,0.11976753439510211,0.19446111706564934,0.12858612496840993,0.12964074471043288,0.6681531047810609,0.23390435267563514,0.22908106449636376,0.23390435267563514,0.23214285714285715,0.19090088708030314,0.15430334996209194,0.1690308509457033,0.24565184222025874,0.14969623771302396,0.27375436433166195,0.2618924633082486,0.18712029714127992,0.23028309323591914,0.09652341781316803,0.22616392520774686,0.09265616458263766,0.2619684159977919,0.30631873731649006,0.1620509308880411
D00143,0.7274300783927189,0.7142857142857143,0.3706246583305505,0.5682911427735109,0.3967800427596649,0.2717914161090704,0.4200412794412906,0.329914439536929,1.0,0.4322649674336256,0.3256694736394648,0.3457086525611543,0.34236839400873037,0.2453418357565453,0.29634779238509984,0.1690308509457033,0.3563483225498992,0.31851102863530306,0.18401748249129443,0.34893157889942655,0.2717914161090704,0.42796049251091295,0.39533296888592057,0.1543033499620919,0.3059035234677576,0.18257418583505539,0.1454785934906616,0.26115160619935,0.17757120130114437,0.20806259464411975,0.13829563644637993,0.2806804457119199,0.1781741612749496,0.18712029714127992,0.35269337134192436,0.2925969387941234,0.3967800427596649,0.2925969387941234,0.37115374447904514,0.17634668567096218,0.2004459314343183,0.1951800145897066,0.3444373818510708,0.23767469863579357,0.33586083136977984,0.5815526314990442,0.36731544334622646,0.30389487055903447,0.14860752335342742,0.3816831167528962,0.14978617237881953,0.28088828020593787,0.39531892982382755,0.14969623771302396
D00163,0.5687046880260318,0.36401260415463205,0.2833152987899314,0.3777537317199085,0.3370101854969077,0.2360960823249428,0.3541441234874142,0.41375796327552783,0.4322649674336256,1.0,0.2667325346846322,0.30969005213075024,0.4089304100547654,0.20317460923263617,0.2642921125218623,0.16151457061744964,0.3192211990345307,0.2391304347826087,0.1318760946791574,0.28896024590835157,0.2360960823249428,0.306697807541074,0.30692490702242564,0.2359071298478354,0.26981625024797273,0.1744556751977294,0.13900960937138318,0.2495390001609497,0.21815377450367382,0.19881069312188604,0.15102406429820703,0.25031948894825307,0.198626523843708,0.10727978097782273,0.35807332209046444,0.25807943617160417,0.29488391230979427,0.25807943617160417,0.3546496828075953,0.16850509274845385,0.2553769592276246,0.16318834144205488,0.2904011597483873,0.20646003475383348,0.37756016074551757,0.35564337957950964,0.26839804517998356,0.2722327532402354,0.15974933105107683,0.2879296155703266,0.12267912301642961,0.2477520417046002,0.35785924761939486,0.35759926992607577
