,D00040,D00066,D00067,D00075,D00088,D00094,D00105,D00129,D00143,D00163,D00182,D00187,D00188,D00211,D00246,D00279,D00299,D00312,D00316,D00327,D00348,D00443,D00462,D00506,D00554,D00565,D00577,D00585,D00586,D00596,D00627,D00690,D00730,D00898,D00930,D00950,D00951,D00954,D00956,D00961,D00962,D00965,D01115,D01132,D01161,D01217,D01294,D01387,D01441,D01689,D02217,D02367,D04066,D05341
D00040,1.0,0.5838403593598094,0.31819805153394637,0.6667948594698258,0.565685424949238,0.4,0.4310527248642598,0.6937819061732103,0.8467803948114511,0.6047431568147635,0.5199469468957453,0.7181324987175317,0.808290376865476,0.21213203435596428,0.4685212856658182,0.0834057656228299,0.7452413135250994,0.29591817714964314,0.13719886811400708,0.48741743667595394,0.4,0.4242640687119285,0.47067872433164165,0.13093073414159545,0.3429971702850177,0.07559289460184544,0.2,0.34358227615493336,0.10776318121606494,0.05897678246195885,0.1979898987322333,0.36055512754639896,0.12510864843424485,0.2,0.680336051416609,0.511207720338155,0.43817804600413285,0.511207720338155,0.4,0.16222142113076254,0.1543033499620919,0.06859943405700354,0.3616777720717861,0.12977713690461004,0.4173993557999607,0.48989794855663565,0.4242640687119285,0.40842197619410475,0.13483997249264842,0.4269959969312931,0.17693034738587657,0.5477225575051661,0.401188709901439,0.25819888974716115
D00066,0.5838403593598094,1.0000000000000002,0.4423258684646914,0.8178608201095309,0.7372097807744856,0.4587317109255645,0.2996023545092553,0.49490154195747266,0.7624437362098716,0.4334607234315054,0.7356829380292481,0.5122717640554154,0.5216720300383333,0.22116293423234576,0.521031687220669,0.2173913043478261,0.5316095330711951,0.4456342606241897,0.25031948894825307,0.653358607776565,0.4587317109255645,0.6634888026970371,0.4907164920657185,0.22750787759664506,0.2860794159408606,0.19702760155977517,0.1563858105428061,0.521031687220669,0.1872514715682846,0.15371886547533642,0.2359071298478354,0.43373619897468024,0.2173913043478261,0.1563858105428061,0.5516772843673704,0.723317638245537,0.685248288864193,0.723317638245537,0.6602956445140702,0.16912752287293462,0.19304683562633607,0.17879963496303788,0.582752494662402,0.20295302744752153,0.3730019232961255,0.8512565307587487,0.5529073355808642,0.45622429850435514,0.16869646713466,0.5087704005991147,0.215206411665471,0.4568321925761286,0.38609367125267213,0.26919095102908275
D00067,0.31819805153394637,0.4423258684646914,0.9999999999999998,0.4506939094329987,0.4062499999999999,0.21213203435596426,0.8255008255012383,0.2904737509655563,0.40824829046386296,0.33407655239053047,0.4267459067940983,0.3006688971514774,0.30618621784789724,0.2708333333333333,0.303686696705828,0.2211629342323457,0.34668762264076824,0.7846715615207801,0.21221867190679136,0.40004734568283135,0.21213203435596426,0.4062499999999999,0.381356384904845,0.3471825374147068,0.7882407813680822,0.26726124191242434,0.5303300858899106,0.46933398581809777,0.2857502857504286,0.20851441405707474,0.24999999999999994,0.31868871959954903,0.33174440134851857,0.4861359120657514,0.3006688971514774,0.4195731958391368,0.45184805705753195,0.4195731958391368,0.5303300858899106,0.3154466340720224,0.24549512651549138,0.30316953129541624,0.37780482591741266,0.25809270060438194,0.7378647873726217,0.43301270189221935,0.34374999999999994,0.309426373877638,0.19069251784911848,0.29654012630945564,0.3909645263570151,0.2581988897471611,0.6546536707079771,0.18257418583505533
D00075,0.6667948594698258,0.8178608201095309,0.4506939094329987,1.0000000000000002,0.7973815320737669,0.43145549730400484,0.4931289675734429,0.5370861555295747,0.7548513560963972,0.5188745216627708,0.7647748927656913,0.5929994533288809,0.6038810848771178,0.2773500981126146,0.6125638918316889,0.20446520502738272,0.6153846153846154,0.4191368221424547,0.23543547789870936,0.7169281790988649,0.43145549730400484,0.6240377207533828,0.5384615384615385,0.21398024625545647,0.3363363969981562,0.1853123291652753,0.19611613513818404,0.55130750264852,0.2113409861029041,0.14457873299156004,0.22188007849009164,0.4895354638983791,0.20446520502738272,0.19611613513818404,0.5559369874958259,0.7519206177414045,0.6445033866354896,0.7519206177414045,0.6210344279375828,0.22269966704152228,0.24209101306752098,0.20180183819889375,0.5481019981862869,0.22269966704152228,0.5262348115842176,0.6805446536716204,0.5200314339611524,0.5149166109215608,0.15866576560438353,0.5682411743268503,0.23132597278649608,0.5012804118276031,0.5447047794019222,0.25318484177091666
D00088,0.565685424949238,0.7372097807744856,0.4062499999999999,0.7973815320737669,0.9999999999999998,0.38890872965260115,0.3492503492505239,0.5486726407127174,0.646393126567783,0.4342995181076896,0.7878385971583353,0.5345224838248487,0.5103103630798287,0.2708333333333333,0.6625891564490792,0.2211629342323457,0.5547001962252291,0.37780482591741266,0.24253562503633297,0.7693218186208295,0.38890872965260115,0.5624999999999999,0.6240377207533828,0.19287918745261487,0.3941203906840411,0.16703827619526523,0.17677669529663687,0.5797655118929443,0.15875015875023812,0.13032150878567172,0.19999999999999996,0.46577582095318704,0.1843024451936214,0.17677669529663687,0.5679301390639018,0.7423218080230882,0.5809475019311126,0.7423218080230882,0.55979286843935,0.22941573387056174,0.21821789023599233,0.15158476564770812,0.4940524646612319,0.20073876713674152,0.39528470752104733,0.6134346610139774,0.4687499999999999,0.48992509197292683,0.14301938838683884,0.5661220593180517,0.20851441405707474,0.5163977794943222,0.40915854419248565,0.22821773229381917
D00094,0.4,0.4587317109255645,0.21213203435596426,0.43145549730400484,0.38890872965260115,1.0,0.1796053020267749,0.3651483716701107,0.3849001794597505,0.41576092031014994,0.4085297439895141,0.37796447300922725,0.3849001794597505,0.1885618083164127,0.2811127713994909,0.2502172968684897,0.3922322702763681,0.2630383796885717,0.30869745325651593,0.3133397807202561,1.0,0.31819805153394637,0.31378581622109447,0.2182178902359924,0.2057983021710106,0.22677868380553634,0.15,0.2498780190217697,0.14368424162141993,0.2653955210788148,0.3111269837220809,0.22188007849009164,0.1668115312456598,0.15,0.37796447300922725,0.4016632088371218,0.3651483716701107,0.4016632088371218,0.3333333333333333,0.22710998958306758,0.27774602993176545,0.13719886811400708,0.2630383796885717,0.12977713690461004,0.20869967789998034,0.408248290463863,0.35355339059327373,0.2625569846962102,0.1887759614897078,0.2744974265986884,0.17693034738587657,0.3651483716701107,0.24688535993934707,0.5163977794943223
D00105,0.4310527248642598,0.2996023545092553,0.8255008255012383,0.4931289675734429,0.3492503492505239,0.1796053020267749,1.0000000000000002,0.36070420968117417,0.4147806778921701,0.4073065399812784,0.33351867298253507,0.4073065399812784,0.4147806778921701,0.2751669418337461,0.30854599239926794,0.14980117725462766,0.45790546988962555,0.6200655251253673,0.15401027590842437,0.34391796971439736,0.1796053020267749,0.2857502857504286,0.3522349768381735,0.27435163058436723,0.8316554899054915,0.2036532699906392,0.5388159060803247,0.39269489941725005,0.2580645161290323,0.15888814239971283,0.2286002286003429,0.2988812888320308,0.26215206019559845,0.493914580573631,0.3733643283161719,0.3279129178919765,0.3279129178919765,0.3279129178919765,0.4190790380624748,0.29135827337403253,0.2217095981894773,0.246416441453479,0.2657423679108717,0.233086618699226,0.7764453512724155,0.2932942300427066,0.2857502857504286,0.2881793843842354,0.14530784390894483,0.27389551783238836,0.31777628479942566,0.29512162610277887,0.7482698938894858,0.13912166872805048
D00129,0.6937819061732103,0.49490154195747266,0.2904737509655563,0.5370861555295747,0.5486726407127174,0.3651483716701107,0.36070420968117417,1.0,0.5973191135873606,0.4830458915396479,0.5424508028966484,0.7935753932437073,0.8432740427115678,0.21516574145596762,0.39918616395854073,0.0761386987626881,0.7519206177414045,0.2401200900750657,0.15655607277128736,0.540295467239169,0.3651483716701107,0.3550234734023465,0.4654746681256314,0.11952286093343938,0.37573457465108967,0.06900655593423542,0.18257418583505536,0.42769946138415077,0.09837387536759296,0.026919095102908276,0.12909944487358058,0.35445877847928337,0.11420804814403215,0.18257418583505536,0.7935753932437073,0.5333333333333333,0.3333333333333333,0.5333333333333333,0.36514837167011077,0.17770466332772772,0.1126872339638022,0.06262242910851494,0.33016512385321534,0.11846977555181848,0.35381518506868126,0.4099457958749615,0.3872983346207417,0.3994677309684806,0.09847319278346618,0.38979223247279315,0.16151457061744964,0.5666666666666667,0.3380617018914066,0.18856180831641267
D00143,0.8467803948114511,0.7624437362098716,0.40824829046386296,0.7548513560963972,0.646393126567783,0.3849001794597505,0.4147806778921701,0.5973191135873606,1.0,0.5819143739626463,0.6075304364080838,0.6546536707079771,0.6666666666666666,0.24948506639458295,0.5410017808004594,0.16051447078102563,0.6793662204867574,0.3796631983009996,0.19802950859533486,0.5695214286468868,0.3849001794597505,0.5103103630798287,0.528395949267478,0.20998026278290402,0.33004918099222474,0.14547859349066158,0.19245008972987526,0.42077916284480177,0.17282528245507087,0.11350087076783313,0.21773242158072692,0.42700841014689905,0.200643088476282,0.19245008972987526,0.6546536707079771,0.5973191135873606,0.5270462766947299,0.5973191135873606,0.4811252243246881,0.21853668936906195,0.20786985482077452,0.16502459049611237,0.4429403980178329,0.18731716231633883,0.4303314829119352,0.6678230711206282,0.47628967220784013,0.44914769123547676,0.18164975363768868,0.49892218025118684,0.22700174153566627,0.49190985824841454,0.445435403187374,0.24845199749997662
D00163,0.6047431568147635,0.4334607234315054,0.33407655239053047,0.5188745216627708,0.4342995181076896,0.41576092031014994,0.4073065399812784,0.4830458915396479,0.5819143739626463,0.9999999999999999,0.42111744380615784,0.49999999999999994,0.5455447255899809,0.22271770159368698,0.3541688016605732,0.15762208124782012,0.5188745216627708,0.34175337130066,0.12964074471043285,0.42766860172384985,0.41576092031014994,0.33407655239053047,0.4447495899966607,0.20619652471058064,0.3565120479536904,0.14285714285714285,0.1889822365046136,0.2951406680504776,0.16971105832553268,0.19504737440137349,0.21380899352993948,0.3144854510165755,0.15762208124782012,0.1417366773784602,0.46428571428571425,0.4140393356054125,0.34503277967117707,0.4140393356054125,0.2834733547569204,0.24525573579398632,0.34992710611188255,0.1620509308880411,0.27961639470054,0.15328483487124145,0.3944053188733077,0.42433421239575275,0.33407655239053047,0.3307907078519828,0.15289415743128765,0.31701472973732925,0.11145564251507056,0.34503277967117707,0.37908769828787275,0.5855400437691198
