,D00040,D00066,D00067,D00075,D00088,D00094,D00105,D00129,D00143,D00163,D00182,D00187,D00188,D00211,D00246,D00279,D00299,D00312,D00316,D00327,D00348,D00443,D00462,D00506,D00554,D00565,D00577,D00585,D00586,D00596,D00627,D00690,D00730,D00898,D00930,D00950,D00951,D00954,D00956,D00961,D00962,D00965,D01115,D01132,D01161,D01217,D01294,D01387,D01441,D01689,D02217,D02367,D04066,D05341
D00040,1.0,0.25744416873449133,0.13220790759662374,0.24071280407316614,0.21202332177749764,0.061831656961355216,0.1520933176598246,0.21072056239015818,0.4585646720131606,0.31883940838923464,0.20403176542455712,0.19397116644823068,0.21990867579908677,0.050842328255825686,0.15663322185061315,0.01176343621843298,0.19780893952673093,0.12001955512099731,0.048823703120385864,0.21164594977892717,0.06194409148665819,0.20972413793103448,0.18699333453431813,0.019120856281824795,0.16107043675839436,0.03327596098680436,0.0522713130056005,0.18503662364841297,0.012359666289010196,0.019282469639380736,0.032565225671300706,0.17310461403618607,0.015435501653803748,0.05009314841647692,0.1887205534635257,0.21189179993194965,0.2176466159753068,0.21261383947570006,0.1726555652936021,0.017266448564158487,0.06156260899895361,0.01105593553827415,0.17649110568538542,0.042396731729459826,0.21878045384936656,0.21529502440695383,0.21028293753428953,0.1333122729426631,0.020127601397539115,0.16658565377404347,0.05923687193048734,0.2215313857422707,0.13339084065244666,0.0431958057898336
D00066,0.25744416873449133,1.0,0.2039656631604401,0.6659707724425887,0.5049575916855812,0.08459350202126066,0.21340645947592932,0.21914162138183432,0.45643842616249364,0.22837433058001272,0.39516026859242365,0.193505923650724,0.21977388094139363,0.059711131986848284,0.24520021941854087,0.01823238566131026,0.1955614150736102,0.18012489233419465,0.06755290287574607,0.4060366510959396,0.08459350202126066,0.32901017742952354,0.20905072126570498,0.03355902266705917,0.22219755826859044,0.047811887655127366,0.07569779336548298,0.1540226870369156,0.018802429852473244,0.029983690879437964,0.0371595630096938,0.23791417707767518,0.021462639109697933,0.0735015312819017,0.19784611968468968,0.39338682227084854,0.4292271562766866,0.39338682227084854,0.3335940992400536,0.0246131351285488,0.07944355024143482,0.01831595013991351,0.23403804001979778,0.05751459143968871,0.1855072463768116,0.46625530273814114,0.2508152979543433,0.19538176947119984,0.0255274058375879,0.23774618034089906,0.08019230769230769,0.2517058377558757,0.17775310386595336,0.061687229076358784
D00067,0.13220790759662374,0.2039656631604401,1.0,0.22873658133773742,0.17674369526221378,0.09087488240827846,0.5314018355227641,0.16697225278083364,0.1988198458574181,0.14764527155336118,0.21658400101742337,0.15896805896805896,0.16445521816789999,0.06477265439620343,0.12615000779666302,0.039611964430072755,0.1594986483165397,0.6769474797321113,0.09962341663813762,0.18283153298092392,0.09128552606813477,0.13741240813536149,0.17801184990125082,0.06391909940850983,0.4529161603888214,0.07137037640540982,0.11709159584513693,0.1285454799496996,0.044597872737451014,0.052435039676365335,0.05164278224397064,0.12710745085851916,0.04491080797481637,0.11540637375070714,0.16845922961480742,0.1966547192353644,0.1626752336448598,0.20153550863723607,0.21152957486136784,0.04722514663859227,0.10334768717877484,0.041104586573559754,0.10936308822510223,0.09333534378769602,0.23804195804195805,0.19625270237809272,0.1676908655348401,0.102371239163692,0.04332048083465639,0.1418059593023256,0.10723981900452488,0.16553314121037463,0.36238837798214046,0.07256482893876662
D00075,0.24071280407316614,0.6659707724425887,0.22873658133773742,1.0,0.4260355029585799,0.09865629420084866,0.27751538571633033,0.2333498390690765,0.34845923807047197,0.21459102389741597,0.43667242371905585,0.19698626807631547,0.23024365089596494,0.06448586439829872,0.21484630477436234,0.021870979599338355,0.19985385458531238,0.20244581668482867,0.07665669762317015,0.4422895622895623,0.09885057471264368,0.310733384262796,0.2432611870933475,0.037037037037037035,0.22719449225473323,0.053972561435248,0.08873602751504729,0.14204976221655524,0.020532835567622604,0.03353965740607456,0.03914204640293774,0.20638641875505254,0.0258604297394942,0.086121118545205,0.2077970297029703,0.41642905634759,0.3511533836230458,0.41316716337036036,0.3787303995953465,0.028288740245261984,0.08912052117263844,0.019883040935672516,0.2201337295690936,0.06515698805223673,0.18429473320072645,0.36078688524590163,0.2523696682464455,0.16974900924702774,0.027240679414592458,0.24508581839102503,0.08773051913442063,0.24388514711095358,0.22233712512926576,0.07447665056360708
D00088,0.21202332177749764,0.5049575916855812,0.17674369526221378,0.4260355029585799,1.0,0.07162814325628651,0.17989417989417988,0.19844625823581474,0.3176064441887227,0.2159015852047556,0.37377602701181767,0.1683762337913683,0.1903894790085989,0.06763204616067466,0.3169904409497379,0.018448253303676568,0.1699283084673513,0.15850171559283263,0.05986903648269411,0.43620210993892283,0.07176425758922901,0.3105998356614626,0.1989859271523179,0.02957393483709273,0.20959270637201466,0.04525862068965517,0.06524716722699539,0.1601950737699858,0.01603354711396152,0.02910921427008098,0.03410612359946445,0.2619222843685605,0.019264214046822742,0.06326124782500621,0.17630313144203397,0.37043854899837575,0.4077613669273096,0.37251924953909554,0.27620066109274743,0.023446658851113716,0.07594550630337536,0.016125469405787497,0.2467072273851708,0.05078083501540423,0.17207863927545836,0.3119533527696793,0.23065304309195914,0.21905577299412915,0.023336214347450302,0.3180518242482018,0.07685642491985097,0.24194019674685888,0.15416367552045945,0.051884824036722774
D00094,0.061831656961355216,0.08459350202126066,0.09087488240827846,0.09865629420084866,0.07162814325628651,1.0,0.09090909090909091,0.11504569190600522,0.08740051058717525,0.0594551825477563,0.08589540412044375,0.12149532710280374,0.1233140655105973,0.04452132059863127,0.050604567845947156,0.05012964563526361,0.10777851021753461,0.07644824311490978,0.21759107318674106,0.08070725794952231,0.9731285988483686,0.05643070787637089,0.0885434858539993,0.06791044776119402,0.07701980509273813,0.09129451667608819,0.14566929133858267,0.0483619344773791,0.04040404040404041,0.06382978723404255,0.04648029639609296,0.050320627003918775,0.06338028169014084,0.14895908111988515,0.11001339584728734,0.07921962754951227,0.06533533417984531,0.07921962754951227,0.07525245538802047,0.04475043029259897,0.09806803863922721,0.03331542181622783,0.04455445544554455,0.1128280598479274,0.04801587301587302,0.08896904117823866,0.07190614355998486,0.04090811736988648,0.040757381258023105,0.061846783751750886,0.06858006042296072,0.0838095238095238,0.06982046166999145,0.14285714285714285
D00105,0.1520933176598246,0.21340645947592932,0.5314018355227641,0.27751538571633033,0.17989417989417988,0.09090909090909091,1.0,0.1892599053077498,0.21422471635964377,0.1703466976564013,0.222861526658995,0.16978792012898425,0.1849110505129204,0.06532760059038696,0.13190688925464378,0.03962798220784472,0.17163437655240935,0.42112339408425453,0.09928106812735364,0.19648878037437506,0.09090909090909091,0.14192551913506093,0.20585063359396064,0.05688282138794084,0.5637671680837149,0.07052117263843648,0.1160815402038505,0.1285634432643935,0.041503815373162105,0.04951109731491541,0.05192761605035405,0.1320533832826036,0.04492966617677934,0.11439879381831888,0.18061172901921133,0.21396532913080374,0.16282013828026098,0.2076700434153401,0.22316845543630426,0.045823317307692304,0.10537305122494432,0.036346396965865994,0.11331385642737897,0.09336349924585219,0.3489128225970331,0.2039656631604401,0.1786540483701367,0.10768048171161361,0.04285714285714286,0.15463065049614114,0.10701357466063348,0.18358506029738905,0.6142789448744275,0.07705779334500876
D00129,0.21072056239015818,0.21914162138183432,0.16697225278083364,0.2333498390690765,0.19844625823581474,0.11504569190600522,0.1892599053077498,1.0,0.2286193404136389,0.19042003084459766,0.22356879039704525,0.4432037496553626,0.671656522454351,0.06612669245647969,0.15,0.023352103345478634,0.3766763081777544,0.14873693379790942,0.08274060095804907,0.21232876712328766,0.11504569190600522,0.16692426584234932,0.1661214953271028,0.031196381219778507,0.18261936635430612,0.05314143371159701,0.08036685838644489,0.13894778690697057,0.018112049117421335,0.031886742524477374,0.04234787463115081,0.15271082103389452,0.02627986348122867,0.08053482587064677,0.405090712158137,0.2170704845814978,0.18650575973669775,0.21666850159638887,0.19164339642155342,0.027756360832690823,0.09062196307094267,0.01618945678351619,0.13841015364061457,0.060675883256528416,0.1628077016816963,0.21639561898440093,0.19031881804043546,0.12537606680174374,0.02730101375087825,0.1654244838516234,0.08165100939436339,0.21721087692475702,0.15943969512823153,0.0687118765697883
D00143,0.4585646720131606,0.45643842616249364,0.1988198458574181,0.34845923807047197,0.3176064441887227,0.08740051058717525,0.21422471635964377,0.2286193404136389,1.0,0.24769457764662486,0.29092401500938087,0.2123272403031654,0.2269297736506094,0.06028202115158637,0.2172080907140668,0.018240840933683722,0.21607422311647664,0.17549881999570907,0.06787023211619383,0.28910369068541303,0.08740051058717525,0.24592517523857782,0.2150625657817799,0.03190238165245516,0.22363009892186284,0.047830632514375325,0.07667544629792215,0.15073240910279884,0.01881059181015772,0.028703935823514666,0.03716814159292035,0.21338912133891214,0.02147288054716081,0.07384705195563339,0.21999773781246465,0.29436349260137806,0.2918355529820498,0.2942173029139372,0.23218343317496384,0.025747406955460645,0.08058945429426663,0.01702884737577837,0.1846571622539036,0.05753557961318574,0.19304643812302455,0.3692363112391931,0.2732944254377138,0.17628225249544854,0.025633612797533005,0.21190105518076457,0.08011155991536834,0.2700890403429702,0.1784018587736135,0.062072417820790926
D00163,0.31883940838923464,0.22837433058001272,0.14764527155336118,0.21459102389741597,0.2159015852047556,0.0594551825477563,0.1703466976564013,0.19042003084459766,0.24769457764662486,1.0,0.19834032463979573,0.16557656124003226,0.18334264952487422,0.05577647551276685,0.15654685494223364,0.015963644838033093,0.16858271959762888,0.13402061855670103,0.05319148936170213,0.211814051031108,0.05957494912955008,0.2038357336375303,0.22740639090374437,0.022229669347631813,0.1814258743144835,0.038894575230296824,0.05585224744103249,0.14944068981589373,0.012695959372930006,0.025796209941462447,0.035626617129967494,0.17058328478021623,0.018090930730778387,0.054678817515003336,0.1703207102736003,0.20605200106486823,0.21101919775245825,0.20680163381282188,0.16407284768211922,0.018951846838135757,0.07243947858472999,0.012184160591231398,0.17180300400933518,0.04669825002417094,0.2240703079604881,0.21086061907317946,0.1738647189583995,0.13203146189313805,0.021101430740947967,0.1647907647907648,0.06929663119148596,0.1888464211257818,0.1485057853991509,0.057235286798556675
D00182,0.20403176542455712,0.39516026859242365,0.21658400101742337,0.43667242371905585,0.37377602701181767,0.08589540412044375,0.222861526658995,0.22356879039704525,0.29092401500938087,0.19834032463979573,1.0,0.1927669737291027,0.2200119832234871,0.06239470517448857,0.20644558617468473,0.01991114036531183,0.1943527268587043,0.1856630020192955,0.0715002149305058,0.389031705227078,0.08641192325986999,0.270026525198939,0.21829699110732123,0.033354114713216955,0.32073125233179955,0.04995871180842279,0.08163898804904547,0.17364616014186332,0.01837109614206981,0.03139841688654354,0.03765657206278738,0.20450499264648966,0.023062574190266236,0.07929378968561251,0.19905431899434897,0.7734700416533162,0.30846672707137823,0.8064621409921671,0.42534271952575026,0.026373063628216616,0.08449855351976857,0.01764234161988773,0.21103066439523,0.05998723675813657,0.1752357523575236,0.2832343003611791,0.402676120768527,0.16687865683032307,0.02570771231369411,0.2417281925075198,0.08333333333333333,0.32616700320703174,0.18271449548982588,0.06562054208273894
D00187,0.19397116644823068,0.193505923650724,0.15896805896805896,0.19698626807631547,0.1683762337913683,0.12149532710280374,0.16978792012898425,0.4432037496553626,0.2123272403031654,0.16557656124003226,0.1927669737291027,1.0,0.5526885043263288,0.062056845039694566,0.13093398101126077,0.01812688821752266,0.6144014962593516,0.14053108949841547,0.08029411764705882,0.17656315568610995,0.12149532710280374,0.14598598921008132,0.13606538505813284,0.02849002849002849,0.16688918558077437,0.047505938242280284,0.07533815665303555,0.14358424859362443,0.01875,0.0272654370489174,0.040054583400224754,0.13456871828810943,0.021995150675441635,0.07567652611705475,0.5111143824525246,0.18775111304158976,0.16267510167193855,0.18749321463467594,0.16513480392156862,0.024425100688579966,0.08440366972477065,0.015610153386724583,0.1217201166180758,0.05991440798858773,0.1505428617728083,0.19819423034573883,0.1724971008890607,0.11073170731707317,0.027092846270928464,0.14388672206206546,0.07282380046078334,0.21938549955791334,0.1418032786885246,0.061194842927183586
D00188,0.21990867579908677,0.21977388094139363,0.16445521816789999,0.23024365089596494,0.1903894790085989,0.1233140655105973,0.1849110505129204,0.671656522454351,0.2269297736506094,0.18334264952487422,0.2200119832234871,0.5526885043263288,1.0,0.06074420896993593,0.14430091185410335,0.019292035398230087,0.4080975063042869,0.14489150090415914,0.0824234968476088,0.20370779077466342,0.1233140655105973,0.16410299281056678,0.15734688937303318,0.030116472545757073,0.17822011341279945,0.049635036496350364,0.07933884297520662,0.1357263799525906,0.019694731659281144,0.029292788394476216,0.04140940149831234,0.14760567655763832,0.025293255131964808,0.07951727558274095,0.3859429366736256,0.2134459536582582,0.18315432447710572,0.21303057964399819,0.1896699528504072,0.025717379534380077,0.08825025432349949,0.016288951841359773,0.13499487879822464,0.06254221261650682,0.15803950987746937,0.2163561076604555,0.18758786905001004,0.12085367380147703,0.02785632003351136,0.15995073024810838,0.07557899090157155,0.21830985915492956,0.15410010649627262,0.07327001356852103
D00211,0.050842328255825686,0.059711131986848284,0.06477265439620343,0.06448586439829872,0.06763204616067466,0.04452132059863127,0.06532760059038696,0.06612669245647969,0.06028202115158637,0.05577647551276685,0.06239470517448857,0.062056845039694566,0.06074420896993593,1.0,0.08948946045252369,0.02796116504854369,0.06275770070337133,0.0613056844897221,0.062047267139825855,0.06567735203756304,0.04452132059863127,0.06914122995453864,0.08047434840509861,0.030538380334791133,0.06233078635461164,0.06121562952243126,0.050476261906547665,0.06258491475654118,0.02878400721479032,0.04392129304286718,0.06273101700285141,0.08404490070037417,0.024856896416529443,0.05118583008105674,0.06727884909703091,0.061247216035634745,0.07692307692307693,0.061122831692451945,0.09237372846474981,0.035920726672171756,0.0729389721627409,0.03103448275862069,0.08334831864772523,0.051686317521250344,0.05593714483372041,0.06351263771872975,0.07880617035546612,0.08710547728148688,0.058719079108498655,0.08252554362064449,0.08239496307058966,0.05500492667941807,0.0704348842646715,0.026747672400189364
D00246,0.15663322185061315,0.24520021941854087,0.12615000779666302,0.21484630477436234,0.3169904409497379,0.050604567845947156,0.13190688925464378,0.15,0.2172080907140668,0.15654685494223364,0.20644558617468473,0.13093398101126077,0.14430091185410335,0.08948946045252369,1.0,0.0195139911634757,0.13199764289923394,0.11764705882352941,0.05005523922835047,0.21845899669570443,0.050698674310283055,0.2028505344752141,0.14851408722500964,0.02111801242236025,0.14817009927396652,0.04573578595317726,0.04636989931107578,0.1223701595690619,0.011403508771929825,0.027101367203300704,0.029568506102802133,0.328588143525741,0.01886263890185825,0.045077628793225126,0.13577217636999034,0.21194619651949237,0.24304589707927676,0.21010698839062145,0.2034743091695375,0.01727674345219312,0.06755405093483112,0.011825692531994168,0.23024729434195032,0.03966876971608833,0.1344711510069096,0.20833333333333334,0.20428521250439058,0.4423399366577656,0.01823565036000269,0.3529067641681901,0.06634106634106635,0.17686326291079812,0.12996642417459428,0.036181384248210026
D00279,0.01176343621843298,0.01823238566131026,0.039611964430072755,0.021870979599338355,0.018448253303676568,0.05012964563526361,0.03962798220784472,0.023352103345478634,0.018240840933683722,0.015963644838033093,0.01991114036531183,0.01812688821752266,0.019292035398230087,0.02796116504854369,0.0195139911634757,1.0,0.018120805369127517,0.0395738203957382,0.10845121508886471,0.01958186101295642,0.05012964563526361,0.021998355263157895,0.037567416775153434,0.0946950917203768,0.033172195365894316,0.3052503052503053,0.09125964010282776,0.017588539594110626,0.08621529469069654,0.111620294599018,0.025680473372781065,0.030530113794060506,0.21401657874905802,0.08567774936061381,0.023993144815766924,0.01916296182738004,0.02694610778443114,0.01916296182738004,0.044147843942505136,0.07538139395752318,0.08876725368871966,0.06011291929591498,0.020591085271317828,0.07651788189631273,0.02070244103409208,0.0182267531665122,0.031973684210526314,0.019846210179421456,0.03569525839104955,0.027011943297242994,0.05609475242638592,0.017350633675316838,0.039272175890826384,0.081419624217119
D00299,0.19780893952673093,0.1955614150736102,0.1594986483165397,0.19985385458531238,0.1699283084673513,0.10777851021753461,0.17163437655240935,0.3766763081777544,0.21607422311647664,0.16858271959762888,0.1943527268587043,0.6144014962593516,0.4080975063042869,0.06275770070337133,0.13199764289923394,0.018120805369127517,1.0,0.1409990162859329,0.07631463307455691,0.1783800819413804,0.10777851021753461,0.14762557445779248,0.13918061165608772,0.028481012658227847,0.1678913382320196,0.04749266657354379,0.0756527209814407,0.14302924837694933,0.01874414245548266,0.027258150721539285,0.039964689832276704,0.13580156042985425,0.021987534626038783,0.07599118942731277,0.5967340590979783,0.18977705274605763,0.16580592552324,0.18951832119169296,0.16676891615541922,0.024551831644583008,0.08425042797750061,0.015605916677975302,0.1230432475457681,0.059898872034227925,0.15266617969320673,0.19920669898633758,0.17393827996517364,0.1119384765625,0.027087349092015826,0.14444444444444443,0.07280921382073109,0.2214965685189285,0.14306225002563838,0.06117262661100018
D00312,0.12001955512099731,0.18012489233419465,0.6769474797321113,0.20244581668482867,0.15850171559283263,0.07644824311490978,0.42112339408425453,0.14873693379790942,0.17549881999570907,0.13402061855670103,0.1856630020192955,0.14053108949841547,0.14489150090415914,0.0613056844897221,0.11764705882352941,0.0395738203957382,0.1409990162859329,1.0,0.08932238193018481,0.1623790903478082,0.07644824311490978,0.126209772602093,0.15670774238549173,0.05382027871215762,0.34397253306205494,0.06717363751584284,0.09099511118120171,0.11786551993745113,0.037729916679767335,0.05172647257955315,0.04773384763741562,0.11799899084552729,0.03710124826629681,0.08962041266341156,0.14955555555555555,0.17837664420917548,0.1482039911308204,0.17398252716812274,0.1822203930445519,0.042670157068062826,0.09672673777123943,0.03574363188167625,0.10225505443234836,0.08121561435682473,0.20362410450906027,0.1754047389299882,0.1503107929930307,0.09667945336849676,0.04474708171206226,0.12902420763663588,0.09586676145018787,0.15027944524943077,0.3306069227121859,0.05954935622317597
D00316,0.048823703120385864,0.06755290287574607,0.09962341663813762,0.07665669762317015,0.05986903648269411,0.21759107318674106,0.09928106812735364,0.08274060095804907,0.06787023211619383,0.05319148936170213,0.0715002149305058,0.08029411764705882,0.0824234968476088,0.062047267139825855,0.05005523922835047,0.10845121508886471,0.07631463307455691,0.08932238193018481,1.0,0.06530771228252402,0.2179908076165463,0.05539358600583091,0.0904610492845787,0.08188585607940446,0.0856562137049942,0.13336701187168476,0.15794251134644477,0.0450222882615156,0.058823529411764705,0.08845437616387337,0.06135296628254375,0.05496092422697927,0.10007610350076103,0.17069440195778526,0.08170568063217534,0.06774410774410775,0.06529023889309264,0.06803179307557591,0.08781245952596814,0.059091896589180966,0.12965464016978584,0.04632662611137108,0.04559795673076923,0.12753876392225377,0.055361690087711024,0.06985593911388964,0.07190694395488191,0.042435044902995815,0.054567022538552785,0.0625506893755069,0.09250851305334847,0.06703019018486502,0.08786946636351478,0.08916218293620293
