,D00040,D00066,D00067,D00075,D00088,D00094,D00105,D00129,D00143,D00163,D00182,D00187,D00188,D00211,D00246,D00279,D00299,D00312,D00316,D00327,D00348,D00443,D00462,D00506,D00554,D00565,D00577,D00585,D00586,D00596,D00627,D00690,D00730,D00898,D00930,D00950,D00951,D00954,D00956,D00961,D00962,D00965,D01115,D01132,D01161,D01217,D01294,D01387,D01441,D01689,D02217,D02367,D04066,D05341
D00040,1.0,0.8624575450871764,0.7514691493021793,0.9117647058823529,0.8180959881038617,0.7351470441147052,0.7882407813680822,0.8948381385019566,0.9411764705882353,0.8289098281887926,0.8823529411764706,0.9553302944424514,0.9705882352941176,0.5081460182461678,0.7761140001162655,0.4696682183138621,0.9701425001453319,0.5523359223922852,0.49507377148833714,0.8570745344089282,0.7351470441147052,0.7592566023652965,0.7789808377045201,0.3253956867279842,0.7762058642344918,0.4458508287089374,0.6079187588743288,0.8084933299575416,0.21426863360223206,0.41594516540385146,0.4752971536105469,0.7761140001162655,0.36997003669797185,0.5508226327552436,0.8740200053736314,0.8696565534786725,0.8176316179301714,0.8696565534786725,0.8116794499134277,0.35133030007284705,0.5629716863888062,0.2679265684134639,0.732292093352318,0.4763305116224668,0.654846187598099,0.8624575450871764,0.8176316179301714,0.7610423906471905,0.3389171947022825,0.7761140001162655,0.4434220266088697,0.8823529411764706,0.6360428440325865,0.5752237416355278
D00066,0.8624575450871764,1.0000000000000002,0.7869910029407436,0.8932596002688613,0.8032193289024988,0.7332355751067666,0.7302507302510953,0.7951465679458908,0.9240616554505462,0.7782896421160247,0.8624575450871764,0.8441622892989753,0.8316554899054915,0.5526339413628235,0.7874007874011811,0.4590780850487671,0.8572508572512859,0.628744318534821,0.5184758473652127,0.8414890701798216,0.7332355751067666,0.8519427513705972,0.7575315107724846,0.36917519226059214,0.7191012094028308,0.5002780094738026,0.5617544147048538,0.7697370086861781,0.2804963567266072,0.41382649977558056,0.47156626535602153,0.7874007874011811,0.38745847452199084,0.535655668229714,0.8267540335004896,0.819688599970537,0.9153348228041135,0.819688599970537,0.8804062740424285,0.32194543487279176,0.542416625232065,0.32735666148146897,0.8216865534971651,0.47113289615263926,0.5842005842008763,1.0000000000000002,0.9153348228041135,0.7721099961494129,0.3758164607966955,0.7874007874011811,0.43994134506405985,0.7700513795421218,0.5920964537897382,0.4819315973414993
D00067,0.7514691493021793,0.7869910029407436,1.0,0.8454027929649518,0.7348469228349533,0.6335525936249404,0.9359709753334591,0.7505553499465134,0.8140915784106942,0.8215838362577492,0.8454027929649518,0.7627700713964738,0.7514691493021793,0.5409627460747114,0.697137002317335,0.5,0.7745966692414834,0.715833989590879,0.49190985824841454,0.7698590304914714,0.6335525936249404,0.6928203230275508,0.7996709849747747,0.3752776749732567,0.9216805029374059,0.5085476277156078,0.5710402407201608,0.7302967433402215,0.2851329742561005,0.4870881870470524,0.5326236412913075,0.7229568912920512,0.4654746681256314,0.5445100807792042,0.7803902927439635,0.8023774198028778,0.7503752814845803,0.8023774198028778,0.8023774198028778,0.39739589488035676,0.5513827967081918,0.33276788197906987,0.6682152556676455,0.50709255283711,0.7487767802667673,0.7869910029407436,0.7503752814845803,0.683599072781475,0.382028723980208,0.697137002317335,0.5714395942499463,0.7514691493021793,0.7523547938632787,0.6123724356957945
D00075,0.9117647058823529,0.8932596002688613,0.8454027929649518,1.0,0.8692269873603531,0.7351470441147052,0.8488746876271654,0.8677218312746245,0.9705882352941176,0.8574929257125441,0.9705882352941176,0.8956221510397983,0.8823529411764706,0.5276900958710203,0.8003675626198987,0.4383570037596046,0.9095085938862486,0.6003651330350926,0.49507377148833714,0.9106416928094863,0.7351470441147052,0.7863729095926285,0.8346223261119858,0.35251199395531624,0.8359140076371451,0.4458508287089374,0.6079187588743288,0.8329931278350429,0.24105221280251107,0.4575396819442366,0.4752971536105469,0.8003675626198987,0.4036036763977875,0.5901671065234753,0.8740200053736314,0.9276336570439173,0.8458258116519014,0.9276336570439173,0.84066800169605,0.3732884438274,0.6080094212999108,0.2902537824479192,0.7584453824006151,0.4498677054212187,0.6790997501017323,0.8932596002688613,0.8458258116519014,0.7848249653549152,0.3389171947022825,0.8003675626198987,0.4667600280093365,0.8823529411764706,0.683157128775741,0.6519202405202649
D00088,0.8180959881038617,0.8032193289024988,0.7348469228349533,0.8692269873603531,0.9999999999999999,0.6390096504226939,0.7642171012073582,0.8720983634634086,0.8436614877321074,0.8447367914999205,0.8436614877321074,0.7784989441615229,0.792530488475616,0.5945883900105631,0.9065195959149354,0.5171145012542264,0.7905694150420947,0.5844760050128062,0.5450865450217846,0.8381163549234939,0.6390096504226939,0.7542472332656507,0.7980238751210128,0.44783429475148007,0.7525489793561387,0.49827287912243984,0.5905863785521988,0.724060106999932,0.25609110844884536,0.5423261445466404,0.45662965113740955,0.8221921916437785,0.43852900965351466,0.5471884544454154,0.8577503924427757,0.8315218406202999,0.8332432383729821,0.8315218406202999,0.8063242090863514,0.47716527859489016,0.7242382707348008,0.3299260888524298,0.727460628768505,0.4600437062282361,0.6746192341692542,0.8032193289024988,0.8087360843031886,0.8475706863595912,0.41590019592802907,0.8432740427115677,0.5274365368568266,0.792530488475616,0.6552481246228813,0.6
D00094,0.7351470441147052,0.7332355751067666,0.6335525936249404,0.7351470441147052,0.6390096504226939,1.0000000000000002,0.5773502691896258,0.7100469468046932,0.7701540462154054,0.6804138174397718,0.7001400420140049,0.7462025072446367,0.7351470441147052,0.4885042104591972,0.6639528095680697,0.521749194749951,0.7577722283113839,0.4573295603800236,0.5499719409228703,0.7013343843696722,1.0000000000000002,0.677772085586298,0.662266178532522,0.2904737509655563,0.5685352436149612,0.4927637283262873,0.5107539184552492,0.670693620047775,0.31878835653166915,0.37130532861625287,0.47639306734033093,0.6639528095680697,0.4803844614152615,0.5151221963699317,0.7382716607354268,0.6555622813752365,0.7382716607354268,0.6555622813752365,0.6900655593423543,0.31362502409359005,0.5092534540479526,0.2923217018990037,0.6537014466829248,0.5354496700964053,0.46188021535170065,0.7332355751067666,0.7382716607354268,0.6510592946331426,0.3796631983009996,0.6639528095680697,0.3055555555555556,0.5951190357119042,0.5046949386828399,0.59336610396393
D00105,0.7882407813680822,0.7302507302510953,0.9359709753334591,0.8488746876271654,0.7642171012073582,0.5773502691896258,0.9999999999999998,0.8105746418436737,0.8185577344976238,0.8544206939337449,0.8488746876271654,0.8000946913656627,0.7882407813680822,0.5237849266164971,0.6999999999999998,0.45184805705753195,0.8124999999999998,0.6683495915092551,0.4422689813358515,0.8006285640426374,0.5773502691896258,0.6428695435311895,0.8029550685469661,0.3913118960624632,0.9847319278346618,0.4595725150090289,0.5897678246195885,0.7323605948003528,0.2484709336684047,0.4930584322847129,0.48992509197292683,0.6999999999999998,0.41602514716892186,0.5677749739576687,0.813733471206735,0.8067793113007157,0.6974858324629157,0.8067793113007157,0.747017880833996,0.430044793701963,0.580297931803287,0.2991867508169551,0.6200384459197709,0.46371301675148374,0.7999999999999998,0.7302507302510953,0.6974858324629157,0.6618919560913711,0.36989772143705385,0.6749999999999999,0.5532940079733913,0.7882407813680822,0.7527465433268797,0.6324555320336759
D00129,0.8948381385019566,0.7951465679458908,0.7505553499465134,0.8677218312746245,0.8720983634634086,0.7100469468046932,0.8105746418436737,0.9999999999999998,0.8677218312746245,0.8696263565463043,0.8406055240472925,0.9082951062292475,0.9219544457292885,0.5585812268712465,0.8049844718999243,0.49074772881118184,0.8944271909999159,0.5535093034625594,0.5172935265326568,0.864263397068391,0.7100469468046932,0.7249999999999999,0.7951332228659945,0.42499999999999993,0.7981987297166114,0.46977617561176277,0.6264114497259976,0.7679817174694634,0.2469323991623974,0.4793531180296065,0.4612656040144425,0.7602631123499285,0.3721042037676254,0.5803810000880093,0.9617692030835673,0.8285098499285155,0.7798128673650546,0.8285098499285155,0.7750576015460307,0.404888165089458,0.6436024688664846,0.3087701135972319,0.6992520921470976,0.4635525346505532,0.6931810730249348,0.7951465679458908,0.7798128673650546,0.7674257668936506,0.38598767659924904,0.7602631123499285,0.47336463120312866,0.8406055240472925,0.651558364144604,0.6010407640085653
D00143,0.9411764705882353,0.9240616554505462,0.8140915784106942,0.9705882352941176,0.8436614877321074,0.7701540462154054,0.8185577344976238,0.8677218312746245,1.0,0.8574929257125441,0.9411764705882353,0.9254762227411248,0.9117647058823529,0.547234173495873,0.8003675626198987,0.4696682183138621,0.9398255470157902,0.6003651330350926,0.5280786895875595,0.9106416928094863,0.7701540462154054,0.8134892168199606,0.8346223261119858,0.35251199395531624,0.8060599359358184,0.4776973164738615,0.6079187588743288,0.8329931278350429,0.24105221280251107,0.43674242367404403,0.5003127932742599,0.8003675626198987,0.4036036763977875,0.5901671065234753,0.8740200053736314,0.8986451052612949,0.8740200053736314,0.8986451052612949,0.84066800169605,0.3732884438274,0.5854905538443584,0.2902537824479192,0.7845986714489123,0.4763305116224668,0.654846187598099,0.9240616554505462,0.8740200053736314,0.7848249653549152,0.358853500273005,0.8003675626198987,0.4667600280093365,0.8529411764705882,0.6595999864041637,0.6135719910778963
D00163,0.8289098281887926,0.7782896421160247,0.8215838362577492,0.8574929257125441,0.8447367914999205,0.6804138174397718,0.8544206939337449,0.8696263565463043,0.8574929257125441,1.0,0.8289098281887926,0.8123623944599232,0.8289098281887926,0.5508094528882501,0.8249579113843054,0.5477225575051662,0.8249579113843053,0.6301260378126045,0.5132002392796673,0.8589556903873333,0.6804138174397718,0.7642171012073583,0.8922178162191939,0.4216370213557839,0.8413753371192062,0.5570860145311557,0.5560384374855327,0.7380952380952381,0.2602896031476768,0.5254938542453882,0.5348383021589468,0.8013876853447538,0.45760431532242946,0.49706742338621707,0.849394767744346,0.816982446237566,0.8219949365267865,0.816982446237566,0.7888106377466154,0.44812907976513594,0.6346477588219923,0.3254722774520597,0.7370764232742559,0.5143444998736397,0.7306770072260991,0.7782896421160247,0.8219949365267865,0.7858252779857413,0.4262413420606707,0.8013876853447538,0.5443310539518174,0.7717436331412897,0.7325896743930082,0.7080881928749334
