,D00040,D00066,D00067,D00075,D00088,D00094,D00105,D00129,D00143,D00163,D00182,D00187,D00188,D00211,D00246,D00279,D00299,D00312,D00316,D00327,D00348,D00443,D00462,D00506,D00554,D00565,D00577,D00585,D00586,D00596,D00627,D00690,D00730,D00898,D00930,D00950,D00951,D00954,D00956,D00961,D00962,D00965,D01115,D01132,D01161,D01217,D01294,D01387,D01441,D01689,D02217,D02367,D04066,D05341
D00040,1.0,0.28607171555889505,0.11629410475564322,0.17683541529695376,0.16695245541399387,0.0659758650757014,0.12683541529695377,0.16628314705237782,0.5151633351977783,0.27439411457979096,0.16578662612316458,0.18539749068595224,0.2927731564855311,0.1033810447088252,0.1333625538753744,0.03257568642184027,0.20537866691712847,0.1030595813204509,0.05651435459127766,0.1995251147472166,0.0659758650757014,0.14665711781096394,0.25185237364724544,0.029421433267587112,0.12391273133978704,0.04085317630468132,0.02524967909583294,0.16489151873767258,0.03775056190083024,0.03373819163292848,0.020759545573441358,0.1342682098584612,0.031354685200839054,0.0225180802103879,0.15797334055252607,0.16991014683322378,0.14195572559798694,0.16991014683322378,0.1414792899408284,0.02283527688385988,0.03418803418803419,0.03449098245478336,0.13350889479652023,0.03659605629586868,0.10759681913528067,0.26014085629470246,0.17829197814952802,0.1872024983563445,0.02891557765108872,0.18755765535729754,0.02502105032469405,0.1507779969318431,0.1178814063429448,0.0755142293603832
D00066,0.28633447681066726,1.0,0.14399932812631225,0.25493407239438987,0.21408369821068232,0.06594011389688526,0.157050474510792,0.14877479956845038,0.4308929025820758,0.2707158640382505,0.2362777672797514,0.14367913832199547,0.1406991137839999,0.08649250374050697,0.16306374401612497,0.04965566473502981,0.15406903502141597,0.1098842113334867,0.06647350298143949,0.3471292185801464,0.06594011389688526,0.15879314688838497,0.30251112790795326,0.039313009154278995,0.15343191342096651,0.042163725393539055,0.027244478038128832,0.23913664231124546,0.03533196224226124,0.043256288870323956,0.020305214877667514,0.19396527710216224,0.042915931804820694,0.02789567868932948,0.1365296735978342,0.24128017778811428,0.1694599005748365,0.24128017778811428,0.20163601242966323,0.029902799326358222,0.04468754468754469,0.036543012266635054,0.1423085068702736,0.050148815925045116,0.09782222480635179,0.44687616909839134,0.20140346948107088,0.20630385487528347,0.040237640802981096,0.2816820670272128,0.03247978853659723,0.19447513098306748,0.15254052238179222,0.07541782144956748
D00067,0.11637264957264958,0.14404867724867723,1.0,0.3462444444444444,0.203218018018018,0.04736737588652482,0.8397876543209878,0.08974017094017094,0.13545671641791043,0.11194176245210728,0.32940416666666666,0.0908,0.09327342995169081,0.061704458598726114,0.11405925925925926,0.055847619047619056,0.08648253968253967,0.32850241545893716,0.048466666666666665,0.13249953051643193,0.04736737588652482,0.10941904761904762,0.1487153439153439,0.04568888888888888,0.801328735632184,0.05375652173913043,0.07118095238095239,0.11471111111111111,0.04121860465116279,0.04409356725146199,0.039918279569892474,0.09672079207920792,0.06521269841269842,0.0638940170940171,0.08252549019607842,0.24885128205128207,0.11498473895582328,0.24885128205128207,0.3000888888888889,0.03112748538011696,0.03333333333333333,0.04366274509803921,0.1012927536231884,0.04858861788617885,0.15667985347985347,0.14488080808080808,0.13198518518518518,0.09566666666666666,0.041229223744292234,0.12517209302325583,0.045513450292397666,0.18731282051282053,0.43438095238095237,0.06521269841269842
D00075,0.17687321937321934,0.2549426807760141,0.3227777777777778,1.0,0.4173373373373373,0.0636859732072498,0.3496296296296297,0.126980056980057,0.20589690436705363,0.15997445721583653,0.5510648148148148,0.1168287037037037,0.11683977455716586,0.08448749705119131,0.17743827160493827,0.040767195767195764,0.1334920634920635,0.20225442834138485,0.04987891737891737,0.22946791862284818,0.0636859732072498,0.12793650793650793,0.22070546737213403,0.04101851851851852,0.32009578544061307,0.03535829307568438,0.028346560846560846,0.16935185185185186,0.03639750215331611,0.03401559454191033,0.018461768219832735,0.15813714704803813,0.03871693121693122,0.029294871794871793,0.1276252723311547,0.4110327635327635,0.16112003569834896,0.4110327635327635,0.4985185185185185,0.02163255360623782,0.03678678678678678,0.03811002178649237,0.11681964573268921,0.033967931345980126,0.14263736263736262,0.24664141414141413,0.1444684499314129,0.15831481481481482,0.023989091831557587,0.18568690783807063,0.030696881091617934,0.283511396011396,0.321984126984127,0.07892857142857142
D00088,0.1669585385801602,0.21406058568220732,0.19858047236425613,0.4153071990909829,1.0,0.07079117645535127,0.19917439962485006,0.13870783465378062,0.17358514222168922,0.1561463607129963,0.32498249939128315,0.12376582663744827,0.12605643246066278,0.09350782181734153,0.19350431512593677,0.04703641865804028,0.12286224448386611,0.14688601645123384,0.06537618699780862,0.20552852052661721,0.07079117645535127,0.1326756292972509,0.19273907111744948,0.04720801882964045,0.21552983552051586,0.050981357385587706,0.03841351003513165,0.17891973054135216,0.04164897141012792,0.05136715663031452,0.026942592112600833,0.16264551948255454,0.041673913295534916,0.03447990610152772,0.1377519013449061,0.31620778782940945,0.17996016205068632,0.31620778782940945,0.29278467656846036,0.041154596986744924,0.047358168979790595,0.04501759310980297,0.13568562687246588,0.03840409295254384,0.12036940415318793,0.20713157875320035,0.1380877874871869,0.15807888970051134,0.0321477530844432,0.18652640698523792,0.03364708947923741,0.27185574347736513,0.1857490695328533,0.09658596820758981
D00094,0.06607197440153528,0.06600702752807779,0.04738494039535235,0.06374427845681806,0.07088120261501883,1.0,0.03928932705151205,0.09471354559629797,0.05710019391498822,0.054035303157233816,0.06497802550173533,0.08756224535989134,0.09162998099561959,0.07251842731769954,0.06390188286974162,0.053848972816831576,0.08339980023999942,0.03875012848185836,0.1044880500516535,0.06348123447186817,0.8021729289271162,0.0768986182069025,0.05565016610738657,0.061853025501735326,0.05016312577074975,0.0582760905649484,0.06195434262432905,0.06558825008802374,0.06381575022546945,0.07589896727634689,0.03732774524550105,0.06398068507620341,0.03932685191173194,0.06991600020119713,0.09960855324474742,0.06398068507620341,0.0750889479147918,0.06398068507620341,0.060103616518283796,0.047058948109673614,0.058654399079930995,0.06648381398734234,0.07022490339257714,0.05896425193314858,0.058914828946517485,0.06301356708780882,0.07019730358596614,0.06944167798400483,0.03318305561929095,0.07511378750074572,0.03810038148033431,0.07009088693108612,0.050809459139020026,0.161245122766173
D00105,0.12689493862333368,0.15708080214253053,0.7995381801554641,0.3621399176954732,0.20259456987852045,0.039252741052058095,1.0,0.09972389293376947,0.14770966839328734,0.12109960109108682,0.33445859053497945,0.10088591678097851,0.10478419912128983,0.07265500540250874,0.12144490169181527,0.05170161343000849,0.10130478803318309,0.2953122204329934,0.044867398262459994,0.14191734770764505,0.039252741052058095,0.10666927950878567,0.15941602978640015,0.04229538180155464,0.8508072781167715,0.049765412218444965,0.06589914429420603,0.11805669867398262,0.042893525164555885,0.03682044617717132,0.03326843370650619,0.10352804827807882,0.06037298321248938,0.05915198199148817,0.09667285295462491,0.2645967429918047,0.12097222910847781,0.2645967429918047,0.302880658436214,0.028812600774913964,0.0308641975308642,0.04489765727964712,0.1088770600982088,0.044980316058304624,0.15696649029982362,0.15733466350750303,0.12303764670019814,0.10283036122542294,0.038166062223224405,0.12708818494061103,0.04213293865665535,0.20828145334318174,0.4393885949441505,0.05243647527598144
D00129,0.16628314705237782,0.148745603873809,0.08848345386806926,0.12637519175980713,0.1386105039951194,0.09461743627046408,0.09877151971169064,1.0,0.15728147559376032,0.1666439955564624,0.1297494795090949,0.35582401928555774,0.3885720683379546,0.0906966307505259,0.11748118927606106,0.048894837356375814,0.29436695782849626,0.0798340146166233,0.07212908174446636,0.13841122562682692,0.09643594872727441,0.12469866316020162,0.1260292414138568,0.04250493096646943,0.10771422309883849,0.059512239278125566,0.040714129175667635,0.11002629848783695,0.04636764878267562,0.0408606987554356,0.031072158243374125,0.10961825965634038,0.037702326163864625,0.04235152312075389,0.38282541155844324,0.12694499232960774,0.1231236583414526,0.12694499232960774,0.11580539119000656,0.03701685179417973,0.04908754908754909,0.049074396359464235,0.11845872757243996,0.05019028987134053,0.1006699852853699,0.14774968621122467,0.12799612016136233,0.12731974578128424,0.03430136385879273,0.13268249672543053,0.028319895728802613,0.13851632697786545,0.10350176888638428,0.08654237500391347
D00143,0.5153385388404323,0.4227111304411371,0.13539763867231008,0.205878567362194,0.17359852612692886,0.057023551660560334,0.1476696121383134,0.15730094266516634,1.0,0.2966374167931999,0.1930157978762902,0.1520364594935769,0.150210444640307,0.09849932767950342,0.14402283771853833,0.039564968335295804,0.16206370422231417,0.10873170379984137,0.06248607707730008,0.22465557434605407,0.057023551660560334,0.16661539495132724,0.2844460474222114,0.03246949332937304,0.14426708454638798,0.034628931914083054,0.02559908347388856,0.17873815004579094,0.033180159597707405,0.04067382386314044,0.01907410468121597,0.15105203993333172,0.0348859823130262,0.026225550395744205,0.1443528625529071,0.1978477303494011,0.16527236144399385,0.1978477303494011,0.1647177050073018,0.025194790644838132,0.040406077719510554,0.034342481330543656,0.14976060644215652,0.047135998203377,0.09640578475508303,0.39780630992482185,0.22391268276271123,0.1714791713076409,0.034763821457016696,0.22527677475171867,0.02748108110924821,0.17557448121048033,0.13724554201275074,0.07089640638315177
D00163,0.2743833653465045,0.27067591911032257,0.11051305764742152,0.15919760426300258,0.155877042321751,0.05392844459811343,0.11997524013642391,0.16556907222781184,0.29660720048850736,1.0,0.1492917932796054,0.13538886686924737,0.1351986841828128,0.11444968147256142,0.1426153462221635,0.03630567037225777,0.143311691171382,0.09689599644622132,0.05051559837528922,0.18207638396548312,0.05392844459811343,0.14093986121334515,0.2546728824969015,0.03388822829964328,0.11710045360461531,0.04110684121540762,0.025659802829838502,0.1392522129739728,0.040140270237330765,0.0411373260738052,0.020931445042526323,0.13575261608602399,0.03251986486231433,0.023032545030166912,0.14513741551581658,0.1521807914197926,0.14030119686037054,0.1521807914197926,0.12749900911613157,0.034257926491483036,0.0439059749404577,0.04046173892994904,0.14280599164019522,0.03891891079037623,0.10600545796740803,0.24949254735223822,0.18759429707595474,0.1576302461795922,0.036363778956582694,0.17584373633373993,0.027536141185305715,0.1406275936596983,0.11110419065234761,0.07083404110752506
