,D00040,D00066,D00067,D00075,D00088,D00094,D00105,D00129,D00143,D00163,D00182,D00187,D00188,D00211,D00246,D00279,D00299,D00312,D00316,D00327,D00348,D00443,D00462,D00506,D00554,D00565,D00577,D00585,D00586,D00596,D00627,D00690,D00730,D00898,D00930,D00950,D00951,D00954,D00956,D00961,D00962,D00965,D01115,D01132,D01161,D01217,D01294,D01387,D01441,D01689,D02217,D02367,D04066,D05341
D00040,1.0,0.30563947848480216,0.10188377390202863,0.1987335239747394,0.21155925053225588,0.08987349720606753,0.11059534986695012,0.18810290489832066,0.8076521956516726,0.32232448203703784,0.17654927206000706,0.29509859019280055,0.4064084775451278,0.12002206521665872,0.16592260777078718,0.015406862363534465,0.26458451922942766,0.048911803550715886,0.0,0.23216338678441678,0.08938201764185359,0.14237084966685687,0.2060032613647591,0.0,0.1182071320656364,0.043539407865348066,0.0,0.1182759887598247,0.05315984978210304,0.0,0.0,0.14977330594179322,0.0,0.0,0.3238034250570953,0.17721670337647377,0.23427685268359183,0.17721670337647377,0.11116663371650325,0.0,0.02380354426146502,0.005966924493610759,0.15974183014148446,0.0342877985324737,0.0711205437907221,0.17498107246467676,0.1335297913080524,0.12491511944528097,0.0,0.141574319194575,0.0,0.14791916696018853,0.08603393381069672,0.0
D00066,0.30563947848480216,1.0,0.22019406053928042,0.4963091073257063,0.38625931599647434,0.02758055358495086,0.15803260437375505,0.11010268101192491,0.4862362716154167,0.4584732491288411,0.4254932788423307,0.15321168844427957,0.1683390741457935,0.10344112651376644,0.30335431924645784,0.019994318225388167,0.13446810676723503,0.10759759518126091,0.0040005731200560704,0.466274070376888,0.027429727380584624,0.3454159662163716,0.34784820490952895,0.01910628986264919,0.1569188948333818,0.01771752192985154,0.0,0.2205764171614852,0.004637464299722856,0.0050560146041505345,0.0,0.27159463387255867,0.0073170231047818115,0.0,0.0908650490737886,0.42639899525813296,0.2429780891773071,0.42639899525813296,0.2967329387872502,0.004640529306344693,0.01880806468611428,0.014326132167923566,0.41449733755752377,0.00480738405079577,0.10808909309964443,0.5211805659362458,0.26885693578931186,0.2966388305027133,0.00356543440010447,0.2956359715505735,0.028764556356346106,0.22162375597250375,0.09559907992831997,0.0
D00067,0.10188377390202863,0.22019406053928042,1.0,0.22391319170305804,0.1258216511320823,0.00523089725598299,0.8995724583780176,0.058653462199486195,0.10313007004253255,0.13605649336693357,0.27260749109673266,0.06775297915520309,0.07571672785497788,0.08054362445040043,0.08353084014510394,0.007051906533411758,0.05324787031943992,0.43095587726972573,0.01752795614778173,0.12473200725533885,0.005202291725056296,0.13190817406399336,0.0920483095802697,0.08336768358811497,0.8234608607101414,0.007358803890904373,0.1613201513172335,0.0839416862787523,0.00469824827261698,0.05324699381768572,0.05931878974126825,0.07296198470469273,0.0074129284757608,0.13584422731821968,0.04404003536736507,0.2729280300678975,0.04700071941371442,0.2729280300678975,0.3013386504774765,0.005071603701921407,0.021366895886774113,0.034259699507307,0.12770580431830478,0.044154153162985446,0.26488190049313004,0.09306239042646276,0.10629859419188703,0.06934086014630396,0.018546036567679808,0.08799006847748171,0.17089549701851886,0.1816213388460473,0.4289327633299075,0.0
D00075,0.19873352397473937,0.4963091073257063,0.22391319170305804,0.9999999999999998,0.5491572247579755,0.01342090559737876,0.31242856015947174,0.1475954358616717,0.22562726744744943,0.27110336274620506,0.4516308940651681,0.17978329214257374,0.20232010367559541,0.03127471171193341,0.1679539865694861,0.015645161507085597,0.16071879848641218,0.10873002279010499,0.002616859263725919,0.2876774570527229,0.013347512427652291,0.2407997520562439,0.2071549482587522,0.014624480046947616,0.1895082626171744,0.0136478875601534,0.0,0.1977964752279665,0.003033463218579518,0.0033072458013764347,0.0,0.14899654371855345,0.004786219154113725,0.0,0.11001265560123291,0.4523069864549233,0.09971320738909396,0.4523069864549233,0.40558307074314964,0.0030354681040624305,0.015308609245320473,0.002651823984615677,0.23209380427244883,0.0031446113119504315,0.16251987821970174,0.27365524753121284,0.16718330431488834,0.1529734546181295,0.0023322258484278573,0.2076528448656488,0.008137646292153957,0.2497014087474626,0.19743568636645661,0.0
D00088,0.21155925053225585,0.38625931599647434,0.1258216511320823,0.5491572247579755,1.0,0.008843965881922706,0.11491154502308962,0.1518873836056816,0.2676926815166807,0.3099669328012525,0.3720085745018735,0.149382737026546,0.16918481695736629,0.1004523066509554,0.2919693873778123,0.07482124613808212,0.1346436650761403,0.06146258663363611,0.0022435353305844843,0.3110978701991706,0.008795602030145533,0.155003149800467,0.2190316969105638,0.010714873858533761,0.1820881185544678,0.08429735259820667,0.0,0.17849717526372766,0.021990325610597307,0.002835430588556239,0.0,0.188988909508534,0.004103412025637689,0.0,0.1392276196980556,0.3722847552475595,0.10686250233603327,0.3722847552475595,0.2008215003126292,0.018690027389190227,0.05807431982622005,0.0022735119471062708,0.1899402252542991,0.0026959977088226554,0.08135209828340136,0.21348929094242505,0.13675275660357414,0.1639317258127323,0.01519184719024211,0.20119982164122974,0.005866772726089133,0.21193604695956267,0.07879040098060515,0.0
D00094,0.08987349720606753,0.02758055358495086,0.005230897255982991,0.01342090559737876,0.008843965881922706,0.9999999999999998,0.0,0.06649881080293558,0.0077692570214731894,0.08490750280823484,0.011811197708519624,0.09620052778081738,0.1349982295734144,0.1550868906403969,0.025962277764290213,0.009005823867496555,0.07068507379328354,0.013578670215484683,0.10862807366501792,0.01629069142723698,0.9371897566119975,0.010141848475709246,0.007409690297561112,0.06627389785837387,0.0,0.009397755259933978,0.0635182538031587,0.035625407446839,0.021273790255485578,0.15957395638657898,0.030634160800532384,0.011030729545774758,0.016408691785732926,0.04351880010159204,0.10603307933784363,0.011798703397386874,0.07036190036215646,0.011798703397386874,0.008241361567741282,0.011063184623265375,0.06936803020579024,0.043243097544243936,0.010139503904038132,0.006219867070755481,0.026739052593530013,0.011314173286566474,0.019825361670132935,0.039772165885381815,0.007987509742759169,0.0111488549544185,0.01357195181832275,0.023386228015447038,0.013338169304212845,0.1767816071879911
D00105,0.11059534986695013,0.15803260437375508,0.8995724583780176,0.31242856015947174,0.11491154502308959,0.0,1.0000000000000002,0.0633211217381996,0.11238514054096607,0.14571939562698252,0.2604606433864915,0.05961529634909337,0.06620780329663914,0.06241008154606942,0.05410330511052414,0.007138016902650956,0.058404128857116426,0.3821433892313345,0.017741988873363493,0.08575040975966931,0.0,0.11196056255893422,0.10044545210255162,0.02906928499919988,0.8406706700422959,0.007448661763694139,0.16329002112901186,0.056628034462998134,0.0047556182748448375,0.024640219227195906,0.060043127601284066,0.04883163764461751,0.007503447260314615,0.1375030122890588,0.04810872251374184,0.26098700648730583,0.05166238320530593,0.26098700648730583,0.35774011716921295,0.005133532722866054,0.021627805654308354,0.004157315152420264,0.1063725557401197,0.044693316638039236,0.30691029535445463,0.09127966976949574,0.07975343898306585,0.04560617701907979,0.018772501006651034,0.06111250390026608,0.15627692446923122,0.17294048106097276,0.48529530964839684,0.0
D00129,0.18810290489832066,0.1101026810119249,0.058653462199486195,0.14759543586167168,0.15188738360568155,0.06649881080293558,0.0633211217381996,1.0,0.14643533618864182,0.249797928553844,0.10842064336157387,0.5879878483510593,0.687798534258929,0.10168330507040191,0.10441919334243073,0.15364579768865,0.38855967681859,0.028158032538422556,0.041591533489246504,0.14133625909915062,0.09054422910749704,0.06650380399563162,0.05559180270838238,0.0,0.06615942937809881,0.15288873675016929,0.0,0.04748338860723999,0.022281693221130477,0.00894038657382436,0.0,0.07855383534326044,0.018910435862749608,0.04360949776045472,0.6270370567095837,0.108773257290161,0.0743101648878121,0.108773257290161,0.06871659356858915,0.0,0.0,0.0,0.07571238801529728,0.11323844591377465,0.07638660778014,0.06255912577908845,0.050736134768523934,0.1039019622874041,0.0,0.11066475582999702,0.013068369203100151,0.11591239225400035,0.0454111056198834,0.11545765574647313
D00143,0.8076521956516726,0.4862362716154167,0.10313007004253255,0.22562726744744943,0.2676926815166807,0.00776925702147319,0.11238514054096607,0.14643533618864182,0.9999999999999999,0.42369531106727315,0.2048369088903478,0.15483954423509647,0.17305376577542883,0.08945579678765542,0.18981803247265752,0.0035194866141054952,0.15739760082176407,0.05046475689072475,0.002022787989411701,0.2663855263328481,0.007726770290969928,0.16188810708744739,0.2385503574213639,0.004199802266494531,0.12221985144220773,0.003672653865611457,0.0,0.08894406687465513,0.002344815806459616,0.0025564451163993516,0.0,0.17168436149579677,0.003699666525378523,0.0,0.27490693939860517,0.20551212681144757,0.20311431893532372,0.20551212681144757,0.13027619073379806,0.002346365549058005,0.006155485135786711,0.008807142480067191,0.23406220635187602,0.0024307314043800717,0.0699521423265815,0.27821657929126253,0.13234806067797464,0.18797955107119446,0.001802771169313249,0.1641606421584826,0.001965147382373441,0.1205387472573773,0.06690254286737292,0.0
D00163,0.32232448203703784,0.4584732491288412,0.13605649336693354,0.2711033627462051,0.3099669328012525,0.08490750280823484,0.14571939562698252,0.249797928553844,0.42369531106727315,1.0000000000000002,0.24943134592853772,0.15456546386669445,0.17089306375136676,0.11413051418424662,0.29467602552324107,0.0,0.15699935018508002,0.11383212897771265,0.0,0.3613064283786396,0.08444318013496661,0.19494547823422317,0.23056675563725423,0.0,0.15585463182138445,0.0,0.0,0.09079694280424186,0.0,0.064418945634,0.08047211471325398,0.26198509506960627,0.0,0.0,0.2063840428041719,0.25004482136258643,0.2743297568856948,0.25004482136258643,0.15765466611177195,0.06025126940784852,0.15326570858268979,0.006646948936023094,0.31057201838679355,0.026342010289176293,0.11472128512114173,0.2621283984414794,0.17987220933304124,0.2776170428345975,0.015222078418677619,0.22878801473664825,0.0,0.15410527684287492,0.0950072472401439,0.42404348040443085
D00182,0.17654927206000706,0.4254932788423307,0.2726074910967326,0.4516308940651681,0.3720085745018735,0.011811197708519622,0.2604606433864915,0.10842064336157387,0.2048369088903478,0.24943134592853772,1.0000000000000004,0.12118272124759968,0.13799515187761427,0.03880376826444628,0.20446451582413935,0.013768675623349871,0.10670882407321344,0.13195878809241318,0.0023029922917626824,0.3852576944998127,0.011746607340022914,0.31368390076772873,0.2734420047724878,0.012870415037606333,0.5171413263014119,0.012010955379054368,0.0,0.20415458460124422,0.002669628629469138,0.002910573638067896,0.0,0.18884867641544012,0.004212158434121005,0.0,0.07772230449495474,0.9999576153467358,0.1298861878699762,0.9999576153467358,0.468815758994771,0.0026713930483192538,0.013472489551991637,0.0023337633323795536,0.31062215755059946,0.037669672673550564,0.10157269856806833,0.27503166299569337,0.30321631862800746,0.16864502498041198,0.002052497903128193,0.18610048418380587,0.0071616142846131275,0.613186902172321,0.16546988039544103,0.0
D00187,0.29509859019280055,0.15321168844427957,0.06775297915520309,0.17978329214257371,0.149382737026546,0.09620052778081738,0.059615296349093384,0.5879878483510593,0.15483954423509647,0.15456546386669442,0.12118272124759968,0.9999999999999998,0.812004895158847,0.12770607403424727,0.07853891044515214,0.010847394143439958,0.7432650415108779,0.03252647874627912,0.14806076600866,0.12419087953901502,0.12118534099179612,0.07374615799092858,0.08553877542531993,0.0044170359790174805,0.060714702824629166,0.030654464662788945,0.0,0.07836979220610743,0.023287484602862493,0.03715944918043223,0.0,0.07132891253887902,0.0,0.049080798878870034,0.5180104785825749,0.12154292905716202,0.06574272834136215,0.12154292905716202,0.08100706687954307,0.0,0.0027131914067994203,0.0,0.071015768013299,0.024140753400439915,0.04771131396264292,0.08271079856069397,0.07509060371532005,0.06913003266869618,0.0,0.09420692078785732,0.0026889611643316287,0.1102813145391911,0.05754565735587708,0.0
