,D00040,D00066,D00067,D00075,D00088,D00094,D00105,D00129,D00143,D00163,D00182,D00187,D00188,D00211,D00246,D00279,D00299,D00312,D00316,D00327,D00348,D00443,D00462,D00506,D00554,D00565,D00577,D00585,D00586,D00596,D00627,D00690,D00730,D00898,D00930,D00950,D00951,D00954,D00956,D00961,D00962,D00965,D01115,D01132,D01161,D01217,D01294,D01387,D01441,D01689,D02217,D02367,D04066,D05341
D00040,1.0,0.4092261904761905,0.21171171171171171,0.2974465148378192,0.30168776371308026,0.034482758620689655,0.24882629107981222,0.18322751322751324,0.7113419913419913,0.4425070028011205,0.2571428571428572,0.2752941176470589,0.37014157014157023,0.09537129537129538,0.2412878787878788,0.0,0.3325690770135215,0.16845878136200718,0.0,0.3271929824561404,0.03333333333333333,0.2498866213151928,0.4159754224270354,0.0,0.22564102564102567,0.011363636363636364,0.0,0.19893617021276594,0.022988505747126436,0.0,0.0,0.22244897959183674,0.0,0.0,0.22399267399267397,0.258974358974359,0.20039682539682538,0.258974358974359,0.24245553643144008,0.0,0.0,0.0,0.21208791208791208,0.011764705882352941,0.16600660066006603,0.3503401360544218,0.2292517006802721,0.23268608414239483,0.0,0.2511111111111111,0.0,0.25488095238095243,0.2054263565891473,0.0
D00066,0.4092261904761905,1.0,0.25897435897435894,0.4727272727272727,0.434848484848485,0.0,0.21919191919191916,0.13809523809523813,0.5757575757575758,0.4148717948717949,0.40520833333333345,0.16356589147286824,0.19324894514767932,0.07067488866050017,0.3231111111111111,0.026041666666666668,0.18293650793650795,0.20039682539682543,0.008547008547008548,0.5010752688172043,0.0,0.3539906103286386,0.5270440251572328,0.015625,0.20730593607305933,0.02531645569620253,0.0,0.35670995670995675,0.008333333333333335,0.010869565217391304,0.0,0.2933333333333334,0.01149425287356322,0.0,0.12960992907801422,0.4029761904761906,0.236,0.4029761904761906,0.361352657004831,0.007326007326007327,0.026402640264026406,0.007575757575757577,0.3276315789473685,0.00865800865800866,0.1952898550724638,0.6807692307692309,0.291324200913242,0.36283524904214565,0.006230529595015577,0.38026315789473686,0.007246376811594204,0.27762557077625577,0.18916666666666665,0.0
D00067,0.21171171171171171,0.25897435897435894,1.0,0.3507936507936508,0.2616033755274262,0.0,0.8212765957446809,0.14908424908424908,0.21830985915492956,0.18985776128633272,0.36473429951690817,0.1640740740740741,0.17261904761904762,0.04574712643678161,0.17153558052434456,0.0,0.15730337078651682,0.6212121212121212,0.0,0.2606837606837607,0.0,0.1901960784313725,0.19651741293532338,0.0,0.7283950617283951,0.0,0.03125,0.21348314606741572,0.0,0.0,0.011111111111111112,0.16936026936026938,0.0,0.028985507246376812,0.12886597938144329,0.36328502415458935,0.14901960784313725,0.36328502415458935,0.36712962962962964,0.0,0.0,0.0,0.16413043478260872,0.012658227848101266,0.33139534883720934,0.2237442922374429,0.19291666666666668,0.18220064724919094,0.009174311926605505,0.20146520146520144,0.07954545454545454,0.3401826484018265,0.5242424242424243,0.0
D00075,0.29744651483781914,0.4727272727272727,0.3507936507936508,1.0,0.6021505376344086,0.0,0.42444444444444446,0.18045977011494255,0.34791666666666665,0.2965124077800134,0.6304093567251463,0.21529411764705883,0.2227848101265823,0.0533399470899471,0.26104417670682734,0.030303030303030304,0.21944922547332188,0.26951219512195124,0.0125,0.40579710144927544,0.0,0.3415525114155252,0.3103825136612022,0.010101010101010102,0.3490196078431373,0.0205761316872428,0.0,0.33125,0.012195121951219513,0.007092198581560284,0.0,0.27472527472527475,0.016666666666666666,0.0,0.14503546099290782,0.627903091060986,0.22869198312236283,0.627903091060986,0.6010928961748635,0.010752688172043012,0.02912621359223301,0.011111111111111112,0.3020576131687243,0.012658227848101266,0.2760299625468165,0.4627777777777779,0.2609649122807018,0.25257731958762886,0.009174311926605505,0.280952380952381,0.010638297872340425,0.4107843137254902,0.35765765765765767,0.0
D00088,0.30168776371308026,0.43484848484848493,0.2616033755274262,0.6021505376344086,1.0,0.0,0.25555555555555554,0.20103092783505158,0.36575342465753435,0.31518987341772153,0.4995305164319249,0.2106529209621993,0.2249084249084249,0.07770419426048565,0.3280898876404495,0.01666666666666667,0.21719298245614035,0.2108843537414966,0.007092198581560284,0.44155844155844154,0.0,0.29616858237547894,0.3442857142857144,0.0125,0.2886178861788618,0.028368794326241138,0.0,0.355056179775281,0.01754385964912281,0.009259259259259259,0.0,0.2883333333333334,0.00900900900900901,0.0,0.1770688858067499,0.49765258215962455,0.20833333333333334,0.49765258215962455,0.4059071729957806,0.015723270440251572,0.019943019943019943,0.006410256410256411,0.274910394265233,0.007168458781362008,0.21923076923076923,0.38767123287671235,0.2118518518518519,0.26415094339622647,0.013661202185792351,0.31612903225806455,0.00617283950617284,0.385,0.22391304347826088,0.0
D00094,0.034482758620689655,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02197802197802198,0.0,0.00980392156862745,0.03225806451612903,0.04398148148148148,0.009708737864077669,0.0,0.009900990099009901,0.0,0.031531531531531536,0.0,0.8222222222222222,0.0,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.01282051282051282,0.06666666666666667,0.023529411764705882,0.0,0.0,0.0,0.018867924528301886,0.0,0.024822695035460994,0.0,0.0,0.0,0.013333333333333334,0.023529411764705882,0.0,0.0,0.009009009009009009,0.0,0.0,0.008403361344537815,0.0,0.0,0.011111111111111112,0.0,0.0,0.045454545454545456
D00105,0.24882629107981222,0.21919191919191916,0.8212765957446809,0.42444444444444446,0.25555555555555554,0.0,1.0,0.17310606060606062,0.2509803921568628,0.22773487773487777,0.3890547263681592,0.1837121212121212,0.1796747967479675,0.046395502645502656,0.14285714285714285,0.0,0.18233665559246953,0.5159420289855072,0.0,0.21166666666666667,0.0,0.208130081300813,0.21230769230769228,0.0,0.8091503267973856,0.0,0.031746031746031744,0.16849816849816848,0.0,0.0,0.011235955056179775,0.155,0.0,0.029411764705882353,0.15070921985815605,0.3870646766169154,0.17804878048780487,0.3870646766169154,0.4318840579710145,0.0,0.0,0.0,0.18703703703703706,0.01282051282051282,0.39146341463414636,0.2652380952380952,0.18708333333333332,0.15714285714285714,0.009259259259259259,0.15340501792114694,0.08045977011494253,0.3530516431924883,0.6290322580645161,0.0
D00129,0.18322751322751324,0.13809523809523813,0.14908424908424908,0.18045977011494255,0.20103092783505158,0.0,0.17310606060606062,1.0,0.17754329004329003,0.2588014981273409,0.17986111111111114,0.4738955823293173,0.5171052631578947,0.06395833333333335,0.11969696969696969,0.04819277108433735,0.382375478927203,0.12333333333333334,0.02040816326530612,0.149,0.019230769230769232,0.13777777777777775,0.13023006955591226,0.0,0.163859649122807,0.05154639175257732,0.0,0.10964912280701752,0.009900990099009901,0.0,0.0,0.10472222222222222,0.0,0.011111111111111112,0.6134430727023319,0.17847222222222223,0.1071651090342679,0.17847222222222223,0.1676567656765677,0.0,0.0,0.0,0.11964285714285715,0.05319148936170213,0.1877125850340136,0.14680851063829786,0.08857142857142858,0.12655826558265582,0.0,0.1590909090909091,0.0,0.19896907216494847,0.14789644012944986,0.014705882352941176
D00143,0.7113419913419913,0.5757575757575758,0.21830985915492956,0.34791666666666665,0.36575342465753435,0.0,0.2509803921568628,0.17754329004329003,1.0,0.517989417989418,0.30502283105022837,0.21124031007751942,0.24388185654008443,0.08826530612244898,0.2703252032520326,0.014492753623188406,0.2569105691056911,0.17222222222222222,0.012195121951219513,0.40571428571428575,0.0,0.26413502109704645,0.5166666666666667,0.009803921568627453,0.23733333333333334,0.007936507936507938,0.0,0.22621722846441952,0.011904761904761904,0.006944444444444445,0.0,0.2489130434782609,0.016129032258064516,0.0,0.21928838951310864,0.30306588388780176,0.25683760683760687,0.30306588388780176,0.27179487179487183,0.010526315789473684,0.009345794392523364,0.010869565217391304,0.25943775100401606,0.012345679012345678,0.18178694158075603,0.498360655737705,0.25358649789029536,0.3039007092198582,0.009009009009009009,0.3047619047619048,0.010416666666666666,0.25555555555555554,0.22032520325203256,0.0
D00163,0.4425070028011205,0.4148717948717949,0.18985776128633272,0.29651240778001337,0.31518987341772153,0.02197802197802198,0.22773487773487777,0.2588014981273409,0.517989417989418,1.0,0.26166666666666666,0.1795698924731183,0.20891472868217056,0.09315068493150686,0.27816091954023,0.0,0.2164794007490637,0.16441102756892229,0.0,0.33141620284477435,0.02127659574468085,0.23486590038314176,0.3876923076923077,0.0,0.20887713109935335,0.0,0.0,0.19649122807017544,0.0,0.0196078431372549,0.030927835051546393,0.23902798232695144,0.0,0.0,0.23518341307814994,0.2598809523809524,0.2662698412698413,0.2598809523809524,0.24549019607843142,0.00980392156862745,0.02702702702702703,0.0,0.25169312169312175,0.0,0.21313131313131314,0.37746478873239436,0.21937984496124033,0.28352380952380957,0.0,0.2761904761904762,0.0,0.24056224899598397,0.18935259497057252,0.07272727272727272
