,D00040,D00066,D00067,D00075,D00088,D00094,D00105,D00129,D00143,D00163,D00182,D00187,D00188,D00211,D00246,D00279,D00299,D00312,D00316,D00327,D00348,D00443,D00462,D00506,D00554,D00565,D00577,D00585,D00586,D00596,D00627,D00690,D00730,D00898,D00930,D00950,D00951,D00954,D00956,D00961,D00962,D00965,D01115,D01132,D01161,D01217,D01294,D01387,D01441,D01689,D02217,D02367,D04066,D05341
D00040,1.0,0.7083842083842083,0.3323076923076923,0.513034188034188,0.48665973665973666,0.18439716312056736,0.3611111111111111,0.4617028270874425,0.8084577114427861,0.6814028882994401,0.48096955128205127,0.4673076923076923,0.5418060200668896,0.29397354238118567,0.3851851851851852,0.08974358974358974,0.5312881562881563,0.29728725380899296,0.16666666666666666,0.5462260743950885,0.18439716312056736,0.4287240537240537,0.6381766381766382,0.08376068376068375,0.3536693191865606,0.11148272017837235,0.07179487179487179,0.44461538461538463,0.09660107334525939,0.09919028340080972,0.059760132340777504,0.37014470677837014,0.08791208791208792,0.06443129520052597,0.43981900452488687,0.4930966469428008,0.3861600247142416,0.4930966469428008,0.4104273504273504,0.06500224921277553,0.0997920997920998,0.10055304172951232,0.39144370122630995,0.10131332082551595,0.31121442659904197,0.6761849261849262,0.5142450142450142,0.5416666666666666,0.08500175623463295,0.518932617769827,0.0728744939271255,0.43570019723865877,0.33864468864468866,0.22039072039072038
D00066,0.7083842083842083,1.0,0.4114285714285714,0.6880952380952381,0.58000858000858,0.1945288753799392,0.4470899470899471,0.393976393976394,0.8815446576640606,0.678890713373472,0.6450892857142857,0.38412698412698415,0.36806993328732457,0.2527550298250935,0.4768959435626102,0.12755102040816327,0.4174225245653817,0.3149298366689671,0.19078144078144077,0.701095461658842,0.1945288753799392,0.43537414965986393,0.7621567145376669,0.1037037037037037,0.43787629994526545,0.11180124223602485,0.07664399092970521,0.5504761904761905,0.09449981543004798,0.12280701754385964,0.0576036866359447,0.4754046833254754,0.10884353741496598,0.07977207977207977,0.361531279178338,0.6603174603174603,0.45917001338688085,0.6603174603174603,0.5504761904761905,0.08047897521581732,0.12355212355212356,0.10084033613445378,0.39751552795031053,0.1397599690282617,0.27908599337170764,0.9545454545454546,0.5714285714285714,0.5525396825396826,0.11502500543596433,0.7094868955334072,0.09022556390977443,0.5626373626373626,0.43900226757369615,0.218442932728647
D00067,0.3323076923076923,0.4114285714285714,1.0,0.6163333333333333,0.5232432432432432,0.13787234042553193,0.8892592592592593,0.2464102564102564,0.38686567164179103,0.31471264367816093,0.5778125,0.256,0.2608695652173913,0.17439490445859873,0.3042222222222222,0.16071428571428573,0.2438095238095238,0.7246376811594203,0.13884615384615384,0.36507042253521127,0.13787234042553193,0.30857142857142855,0.4114285714285714,0.13066666666666665,0.8279310344827586,0.15695652173913044,0.18514285714285714,0.32666666666666666,0.11906976744186047,0.12666666666666668,0.11645161290322581,0.2710891089108911,0.18666666666666668,0.16615384615384615,0.22611764705882353,0.568923076923077,0.32987951807228916,0.568923076923077,0.5162666666666667,0.08982456140350877,0.09756756756756757,0.12705882352941175,0.2817391304347826,0.14097560975609755,0.2692307692307692,0.41484848484848486,0.37555555555555553,0.2738,0.12082191780821917,0.3358139534883721,0.11368421052631579,0.49230769230769234,0.686,0.18666666666666668
D00075,0.513034188034188,0.6880952380952381,0.6163333333333333,1.0,0.7576576576576577,0.1875886524822695,0.7111111111111111,0.3591880341880342,0.5972636815920398,0.4599616858237548,0.8760416666666667,0.3333333333333333,0.33067632850241546,0.2445859872611465,0.5007407407407407,0.1005952380952381,0.38412698412698415,0.4676328502415459,0.14134615384615384,0.6105633802816901,0.1875886524822695,0.35,0.6351851851851852,0.10888888888888888,0.6347701149425288,0.0927536231884058,0.08047619047619048,0.4702222222222222,0.09922480620155039,0.09473684210526316,0.05268817204301075,0.44620462046204623,0.09603174603174604,0.08376068376068375,0.36254901960784314,0.8625641025641025,0.46265060240963857,0.8625641025641025,0.7735555555555556,0.05730994152046784,0.09932432432432432,0.10588235294117647,0.31956521739130433,0.09146341463414634,0.2785714285714286,0.6828282828282828,0.3983539094650206,0.45066666666666666,0.06598173515981735,0.524031007751938,0.08450292397660819,0.7476923076923077,0.6688095238095239,0.22936507936507936
D00088,0.48665973665973666,0.58000858000858,0.5232432432432432,0.7576576576576577,1.0,0.20960322024151812,0.5295295295295295,0.3991683991683992,0.5042355788624445,0.45293569431500463,0.7856841216216216,0.35743243243243245,0.3621229925577752,0.2699259769323464,0.5587087087087087,0.12355212355212356,0.3553732303732304,0.39659224441833135,0.18944906444906445,0.5550057099352874,0.20960322024151812,0.37065637065637064,0.5579150579150579,0.13018018018018018,0.5824790307548928,0.14218566392479437,0.11158301158301158,0.5061261261261262,0.11345065996228787,0.14817449027975343,0.07868352223190933,0.46574792614396576,0.10875160875160875,0.10013860013860014,0.397456279809221,0.7735966735966736,0.5289807880169326,0.7735966735966736,0.7151351351351352,0.11474632527264106,0.1331263696128561,0.1282458929517753,0.3820505287896592,0.10678971654581411,0.32803682803682804,0.5751433251433251,0.40056723390056725,0.4545945945945946,0.08959644576082933,0.5285983658076682,0.0948316737790422,0.7237006237006237,0.5021235521235521,0.28378378378378377
D00094,0.18439716312056736,0.1945288753799392,0.13787234042553193,0.1875886524822695,0.20960322024151812,1.0,0.11386918833727344,0.27932351336606653,0.16798983804382345,0.15284910736121302,0.19148936170212766,0.2555851063829787,0.2593277829170521,0.2061254912589782,0.18534278959810874,0.14893617021276595,0.2434143870314083,0.11131668208448967,0.29828150572831424,0.1872939766257117,0.9578995020371208,0.22796352583586627,0.16345829111786558,0.1595744680851064,0.1467351430667645,0.1669750231267345,0.1756838905775076,0.19177304964539008,0.17862444334487879,0.19746173945502052,0.09917638984214139,0.18959342742784918,0.10131712259371833,0.19694489907255866,0.28936170212765955,0.18854337152209494,0.21558574724429633,0.18854337152209494,0.1773049645390071,0.1347517730496454,0.16561242093156986,0.18397997496871088,0.20814061054579094,0.16813700051894137,0.17044657470189384,0.18568665377176016,0.2059364328867875,0.20446808510638298,0.09443310988050131,0.22266204849084612,0.10787607316162748,0.20458265139116202,0.14711246200607903,0.44680851063829785
D00105,0.3611111111111111,0.4470899470899471,0.8892592592592593,0.7111111111111111,0.5295295295295295,0.11386918833727344,1.0,0.2744539411206078,0.42039800995024873,0.34057045551298426,0.6391782407407407,0.2835648148148148,0.2922705314009662,0.208067940552017,0.3292181069958848,0.1488095238095238,0.2857142857142857,0.6443907675791734,0.12856125356125356,0.3967136150234742,0.11386918833727344,0.30180776014109345,0.4470899470899471,0.12098765432098765,0.8968710089399745,0.14533011272141708,0.17142857142857143,0.3380246913580247,0.12446167097329888,0.10526315789473684,0.0967741935483871,0.29336266960029334,0.1728395061728395,0.15384615384615385,0.2668845315904139,0.6293447293447293,0.3393574297188755,0.6293447293447293,0.5688888888888889,0.08317089018843404,0.09034034034034034,0.1310820624546115,0.3061594202898551,0.13053297199638664,0.29385429385429385,0.4489337822671156,0.33013260173754,0.2962962962962963,0.11187214611872145,0.34453057708871665,0.10526315789473684,0.5515669515669516,0.7714285714285715,0.1490299823633157
D00129,0.4617028270874425,0.393976393976394,0.2464102564102564,0.3591880341880342,0.3991683991683992,0.27932351336606653,0.2744539411206078,1.0,0.4226942212016839,0.44577070439139405,0.3703926282051282,0.698076923076923,0.7374581939799331,0.26531112199902007,0.3282051282051282,0.11721611721611722,0.6851343101343101,0.2276105536975102,0.20734714003944774,0.38208739617190324,0.27932351336606653,0.36645299145299143,0.358974358974359,0.12350427350427351,0.3026083112290009,0.1605351170568562,0.11868131868131868,0.31606837606837607,0.13148479427549195,0.11898335582546109,0.09119106699751861,0.3047727849708048,0.10317460317460317,0.11867192636423406,0.8484162895927602,0.3646942800788955,0.35588507877664505,0.3646942800788955,0.3309401709401709,0.10886189833558255,0.14570339570339572,0.14479638009049775,0.34838350055741363,0.12507817385866166,0.2852916314454776,0.39335664335664333,0.3646723646723647,0.36012820512820515,0.101159114857745,0.3726893261776983,0.0811965811965812,0.3994082840236686,0.29304029304029305,0.2442002442002442
D00143,0.8084577114427861,0.8815446576640606,0.38686567164179103,0.5972636815920398,0.5042355788624445,0.16798983804382345,0.42039800995024873,0.4226942212016839,1.0,0.7248241550866358,0.5599347014925373,0.4121268656716418,0.399956738048886,0.28757486453084896,0.41459369817578773,0.1044776119402985,0.44420753375977257,0.31235128704304566,0.1793915040183697,0.6129913811225562,0.16798983804382345,0.48045486851457003,0.7166548211324331,0.08407960199004975,0.4117344312918168,0.09377027903958468,0.07206823027718551,0.4778109452736318,0.08885803540437348,0.11547525530243519,0.054164660568127104,0.4151027043002808,0.08599857853589196,0.07500956754688098,0.3878841088674276,0.574052812858783,0.44955943175687824,0.574052812858783,0.4778109452736318,0.0670332547787379,0.11617587736990723,0.09482001755926252,0.43867618429591176,0.1314160902803058,0.27570936526160406,0.8414744459520579,0.6414225170444076,0.4849253731343284,0.09895726845225924,0.624783061437001,0.07567426027755957,0.5072330654420206,0.39424307036247336,0.20540156361051884
D00163,0.6814028882994401,0.678890713373472,0.31471264367816093,0.4599616858237548,0.45293569431500463,0.15284910736121302,0.34057045551298426,0.44577070439139405,0.7248241550866358,1.0,0.4312140804597701,0.3737068965517241,0.36798267532900214,0.33853137125704663,0.4149425287356322,0.10509031198686371,0.39901477832512317,0.28002665333999666,0.14942528735632185,0.5076898170632993,0.15284910736121302,0.41392993979200876,0.6568144499178982,0.09808429118773947,0.3331351565596512,0.12093953023488256,0.07389162561576355,0.3831417624521073,0.11788291900561347,0.1161524500907441,0.053578049684835004,0.38283828382838286,0.09250136836343732,0.06631299734748011,0.3943204868154158,0.4420866489832007,0.3890042930342058,0.4420866489832007,0.3679693486590038,0.0976003226456947,0.12177694936315626,0.11922470137480279,0.42028985507246375,0.112139052425007,0.3032714412024757,0.6480320445837687,0.5454803462466298,0.45620689655172414,0.10643993071957172,0.4973269179363806,0.08066142367412785,0.40742705570291776,0.31789819376026274,0.17733990147783252
